MINERAL,PERCENT,ERROR
PLAGIOCLASE,50.3,3.1
OLIVINE,10.7,1.6
AUGITE,8.6,2.1
PIGEONITE,6.9,1.8
MAGNETITE,8.5,1
HEMATITE,6.8,0.8
ANHYDRITE,6,0.5
QUARTZ,2.3,0.5
