MINERAL,PERCENT,ERROR
Plagioclase,41.7,6
Anhydrite,12.2,3.8
Bassanite,4.6,1.2
Hematite,17.4,5
Goethite,9.9,3.4
Quartz,1,1
Sanidine,3.5,1.8
Pyroxene ,8.7,1.8
Ilmenite,1,1.2
