MINERAL,PERCENT,ERROR
PLAGIOCLASE,35.8,1.8
OLIVINE,28,1.5
AUGITE,20.2,1.7
PIGEONITE,10.9,1.9
MAGNETITE,2.8,0.6
ANHYDRITE,1,0.3
QUARTZ,0.7,0.4
HEMATITE,0.5,0.3
