MINERAL,PERCENT,ERROR
PLAGIOCLASE,55.8,1.8
SANIDINE,9,0.9
PYROXENE,9,1.4
HEMATITE,13,0.8
MAGNETITE,1.6,0.3
ANHYDRITE,3,0.5
BASSANITE,5.4,0.4
GYPSUM,1.8,0.1
QUARTZ,1.3,0.2
