MINERAL,PERCENT,ERROR
ANDESINE,43.5,2.6
SANIDINE,2.4,1.5
ALBITE,1.3,0.8
FORSTERITE,5.7,1.5
AUGITE,7.6,2.2
PIGEONITE,11.3,3
ORTHOPYROXENE,6.1,2
MAGNETITE,7.6,1.6
ANHYDRITE,5.3,1.4
BASSANITE,2.1,0.7
QUARTZ,0.9,0.9
HEMATITE,1.2,1.1
AKAGANEITE,2.3,1.2
HALITE,0.3,0.3
PYRITE,0.6,0.5
PYRRHOTITE,2,0.9
