MINERAL,PERCENT,ERROR
Plagioclase,51.3,1.5
Sanidine,3.7,1.2
Anhydrite,8,2
Bassanite,5.2,1.4
Hematite,17.1,1.9
Goethite,2.4,1.5
Quartz,1.5,0.2
Pyroxene,8.7,3.2
Ankerite,2.2,0.7
