MINERAL,PERCENT,ERROR
Plagioclase,34.7,3.8
Anhydrite,18.9,2.2
Bassanite,18.4,1.4
Pyroxene,14.7,5.6
Sanidine,3.9,1.6
Hematite,5.5,1.4
Magnetite,1.9,1.1
Quartz,2.1,1
