MINERAL,PERCENT,ERROR
PLAGIOCLASE,53.1,3.8
FORSTERITE,10.4,2.4
AUGITE,13.2,1.8
PIGEONITE,8.5,3
MAGNETITE,2.4,1.2
HEMATITE,6.8,1.5
ANHYDRITE,3.1,1.5
QUARTZ,2.5,1.4
