MINERAL,PERCENT,ERROR
ANDESINE,43.2,2.7
SANIDINE,3.4,1.8
FORSTERITE,1.8,1.6
AUGITE,6.5,2.4
PIGEONITE,13.4,3.6
ORTHOPYROXENE,11.1,4.1
MAGNETITE,8.7,1.9
ANHYDRITE,1.8,1.3
BASSANITE,2.5,1.2
HEMATITE,1.1,0.9
ILMENITE,0.5,0.5
AKAGANEITE,3.6,1.3
HALITE,0.1,0.2
PYRRHOTITE,2.1,1.1
