2-THETA,INTENSITY,
23.15,2109,
23.2,2018,
23.25,2044,
23.3,1992,
23.35,1928,
23.4,1837,
23.45,1772,
23.5,1824,
23.55,1772,
23.6,1798,
23.65,1772,
23.7,1772,
23.75,1798,
23.8,1837,
23.85,1850,
23.9,1811,
23.95,1772,
24,1837,
24.05,1759,
24.1,1772,
24.15,1772,
24.2,1721,
24.25,1708,
24.3,1798,
24.35,1772,
24.4,1811,
24.45,1798,
24.5,1824,
24.55,1876,
24.6,1785,
24.65,1772,
24.7,1759,
24.75,1759,
24.8,1811,
24.85,1824,
24.9,1772,
24.95,1798,
25,1863,
25.05,1928,
25.1,1876,
25.15,2005,
25.2,2057,
25.25,2354,
25.3,2898,
25.35,3752,
25.4,4683,
25.45,5472,
25.5,6067,
25.55,5847,
25.6,5149,
25.65,4256,
25.7,3338,
25.75,2639,
25.8,2199,
25.85,1902,
25.9,1863,
25.95,1772,
26,1863,
26.05,1850,
26.1,1889,
26.15,1966,
26.2,1966,
26.25,2044,
26.3,2135,
26.35,2380,
26.4,2432,
26.45,2665,
26.5,2549,
26.55,2613,
26.6,2549,
26.65,2342,
26.7,2225,
26.75,2070,
26.8,1889,
26.85,1798,
26.9,1759,
26.95,1708,
27,1798,
27.05,1772,
27.1,1798,
27.15,1863,
27.2,1966,
27.25,2212,
27.3,2613,
27.35,3040,
27.4,3609,
27.45,3984,
27.5,4334,
27.55,4295,
27.6,4088,
27.65,3571,
27.7,3131,
27.75,2600,
27.8,2264,
27.85,2070,
27.9,1979,
27.95,1940,
28,1979,
28.05,1940,
28.1,2109,
28.15,2290,
28.2,2432,
28.25,2639,
28.3,2962,
28.35,3040,
28.4,2937,
28.45,2898,
28.5,2743,
28.55,2432,
28.6,2160,
28.65,2031,
28.7,1837,
28.75,1772,
28.8,1772,
28.85,1682,
28.9,1759,
28.95,1824,
29,1915,
29.05,2018,
29.1,2096,
29.15,2160,
29.2,2264,
29.25,2419,
29.3,2639,
29.35,2717,
29.4,2950,
29.45,3286,
29.5,3428,
29.55,3532,
29.6,3467,
29.65,3454,
29.7,3338,
29.75,3079,
29.8,2833,
29.85,2652,
29.9,2471,
29.95,2354,
30,2354,
30.05,2238,
30.1,2225,
30.15,2186,
30.2,2031,
30.25,2031,
30.3,1902,
30.35,1863,
30.4,1798,
30.45,1902,
30.5,1953,
30.55,2057,
30.6,2199,
30.65,2445,
30.7,2536,
30.75,2587,
30.8,2574,
30.85,2600,
30.9,2613,
30.95,2561,
31,2587,
31.05,2510,
31.1,2497,
31.15,2549,
31.2,2445,
31.25,2393,
31.3,2354,
31.35,2173,
31.4,2057,
31.45,2070,
31.5,2005,
31.55,1902,
31.6,2018,
31.65,1953,
31.7,2199,
31.75,2251,
31.8,2587,
31.85,2717,
31.9,3014,
31.95,3687,
32,4217,
32.05,4994,
32.1,6171,
32.15,7206,
32.2,8318,
32.25,9263,
32.3,9845,
