2-THETA,INTENSITY
2,5152
2.05,8629
2.1,7739
2.15,6372
2.2,9023
2.25,5040
2.3,7416
2.35,7184
2.4,5948
2.45,7028
2.5,5566
2.55,6333
2.6,5397
2.65,5124
2.7,5432
2.75,4931
2.8,5048
2.85,4911
2.9,4120
2.95,4231
3,4154
3.05,4420
3.1,3988
3.15,3535
3.2,4011
3.25,3369
3.3,3419
3.35,3440
3.4,3232
3.45,3129
3.5,2753
3.55,3023
3.6,2624
3.65,2792
3.7,2992
3.75,2261
3.8,2499
3.85,2324
3.9,2194
3.95,2453
4,2182
4.05,2415
4.1,2058
4.15,2069
4.2,2270
4.25,1804
4.3,1865
4.35,1777
4.4,1831
4.45,1845
4.5,1668
4.55,1828
4.6,1733
4.65,1784
4.7,1692
4.75,1472
4.8,1573
4.85,1676
4.9,1543
4.95,1476
5,1499
5.05,1402
5.1,1532
5.15,1431
5.2,1478
5.25,1380
5.3,1406
5.35,1379
5.4,1301
5.45,1279
5.5,1264
5.55,1281
5.6,1216
5.65,1239
5.7,1294
5.75,1181
5.8,1307
5.85,1183
5.9,1233
5.95,1191
6,1151
6.05,1166
6.1,1139
6.15,1141
6.2,1170
6.25,1050
6.3,1119
6.35,1117
6.4,995
6.45,1068
6.5,1075
6.55,1076
6.6,1107
6.65,1095
6.7,1039
6.75,1017
6.8,1121
6.85,1010
6.9,1053
6.95,981
7,980
7.05,1019
7.1,1007
7.15,1037
7.2,1001
7.25,1029
7.3,1049
7.35,1007
7.4,941
7.45,991
7.5,965
7.55,1020
7.6,967
7.65,984
7.7,999
7.75,960
7.8,929
7.85,990
7.9,915
7.95,930
8,988
8.05,954
8.1,902
8.15,903
8.2,897
8.25,971
8.3,947
8.35,1026
8.4,926
8.45,914
8.5,931
8.55,890
8.6,940
8.65,936
8.7,922
8.75,907
8.8,917
8.85,914
8.9,910
8.95,979
9,919
9.05,891
9.1,976
9.15,933
9.2,905
9.25,928
9.3,876
9.35,869
9.4,889
9.45,922
9.5,912
9.55,945
9.6,915
9.65,907
9.7,908
9.75,933
9.8,975
9.85,953
9.9,965
9.95,941
10,963
10.05,952
10.1,963
10.15,993
10.2,913
10.25,1001
10.3,977
10.35,971
10.4,904
10.45,870
10.5,866
10.55,914
10.6,865
10.65,874
10.7,837
10.75,825
10.8,787
10.85,787
10.9,740
10.95,750
11,869
11.05,963
11.1,997
11.15,1025
11.2,988
11.25,841
11.3,709
11.35,572
11.4,567
11.45,514
11.5,542
11.55,523
11.6,492
11.65,477
11.7,500
11.75,435
11.8,490
11.85,464
11.9,447
11.95,440
12,432
12.05,429
12.1,448
12.15,459
12.2,431
12.25,382
12.3,445
12.35,411
12.4,420
12.45,404
12.5,394
12.55,413
12.6,409
12.65,412
12.7,388
12.75,407
12.8,442
12.85,426
12.9,408
12.95,422
13,390
13.05,432
13.1,382
13.15,396
13.2,428
13.25,402
13.3,415
13.35,391
13.4,379
13.45,403
13.5,419
13.55,409
13.6,403
13.65,399
13.7,386
13.75,424
13.8,407
13.85,394
13.9,399
13.95,371
14,401
14.05,402
14.1,397
14.15,415
14.2,384
14.25,413
14.3,396
14.35,427
14.4,428
