2-THETA,INTENSITY
14.45,410
14.5,447
14.55,402
14.6,443
14.65,428
14.7,383
14.75,386
14.8,403
14.85,413
14.9,409
14.95,396
15,393
15.05,400
15.1,421
15.15,404
15.2,396
15.25,406
15.3,400
15.35,397
15.4,429
15.45,418
15.5,423
15.55,400
15.6,440
15.65,437
15.7,386
15.75,417
15.8,481
15.85,506
15.9,540
15.95,572
16,581
16.05,581
16.1,545
16.15,559
16.2,512
16.25,462
16.3,471
16.35,444
16.4,454
16.45,451
16.5,431
16.55,430
16.6,408
16.65,419
16.7,448
16.75,479
16.8,466
16.85,461
16.9,538
16.95,601
17,732
17.05,785
17.1,850
17.15,827
17.2,747
17.25,636
17.3,562
17.35,512
17.4,502
17.45,489
17.5,478
17.55,501
17.6,497
17.65,499
17.7,519
17.75,486
17.8,468
17.85,476
17.9,512
17.95,498
18,472
18.05,498
18.1,518
18.15,525
18.2,522
18.25,570
18.3,546
18.35,545
18.4,549
18.45,523
18.5,545
18.55,519
18.6,538
18.65,540
18.7,540
18.75,548
18.8,530
18.85,574
18.9,590
18.95,533
19,529
19.05,562
19.1,531
19.15,558
19.2,542
19.25,545
19.3,544
19.35,534
19.4,522
19.45,526
19.5,508
19.55,526
19.6,498
19.65,507
19.7,501
19.75,490
19.8,524
19.85,515
19.9,500
19.95,555
20,535
20.05,544
20.1,525
20.15,514
20.2,502
20.25,524
20.3,522
20.35,497
20.4,529
20.45,527
20.5,543
20.55,531
20.6,559
20.65,550
20.7,595
20.75,589
20.8,589
20.85,574
20.9,569
20.95,569
21,543
21.05,528
21.1,556
21.15,563
21.2,544
21.25,569
21.3,542
21.35,542
21.4,514
21.45,567
21.5,533
21.55,554
21.6,515
21.65,505
21.7,507
21.75,507
21.8,521
21.85,489
21.9,521
21.95,562
22,556
22.05,600
22.1,606
22.15,600
22.2,599
22.25,605
22.3,649
22.35,666
22.4,675
22.45,736
22.5,757
22.55,761
22.6,824
22.65,891
22.7,910
22.75,981
22.8,971
22.85,980
22.9,1007
22.95,1022
23,979
23.05,980
23.1,950
23.15,954
23.2,903
23.25,909
23.3,839
23.35,836
23.4,825
23.45,867
23.5,800
23.55,809
23.6,795
23.65,808
23.7,808
23.75,788
23.8,768
23.85,809
23.9,791
23.95,788
24,776
24.05,790
24.1,805
24.15,790
24.2,752
24.25,823
24.3,787
24.35,786
24.4,798
24.45,826
24.5,798
24.55,778
24.6,783
24.65,783
24.7,768
24.75,783
24.8,775
24.85,769
24.9,779
24.95,794
25,749
25.05,759
25.1,739
25.15,753
25.2,773
25.25,762
25.3,793
25.35,835
25.4,896
25.45,1068
25.5,1320
25.55,1596
25.6,1824
25.65,1722
25.7,1714
25.75,1534
25.8,1192
25.85,1000
25.9,816
25.95,749
26,723
26.05,646
26.1,708
26.15,687
26.2,727
26.25,698
26.3,734
26.35,693
26.4,709
26.45,751
26.5,812
26.55,809
26.6,906
26.65,920
26.7,876
26.75,869
26.8,833
26.85,761
26.9,733
26.95,701
27,700
27.05,681
27.1,704
27.15,683
27.2,709
27.25,683
27.3,704
27.35,759
27.4,797
27.45,912
27.5,1093
27.55,1204
27.6,1384
27.65,1445
27.7,1332
27.75,1176
27.8,1036
27.85,916
27.9,825
27.95,799
28,727
28.05,712
28.1,720
28.15,738
28.2,709
28.25,750
28.3,808
28.35,901
28.4,968
28.45,1072
28.5,1070
28.55,1034
28.6,966
28.65,955
28.7,873
28.75,835
28.8,783
28.85,802
28.9,764
28.95,746
29,768
29.05,777
29.1,730
29.15,776
29.2,809
29.25,785
29.3,851
29.35,887
29.4,931
29.45,1043
29.5,1235
29.55,1431
29.6,1691
29.65,1753
29.7,1921
29.75,1806
29.8,1691
29.85,1417
29.9,1253
29.95,1153
30,1023
30.05,931
30.1,844
30.15,851
30.2,780
30.25,789
30.3,771
30.35,755
30.4,705
30.45,709
30.5,676
30.55,685
30.6,705
30.65,702
30.7,790
30.75,837
30.8,906
30.85,881
30.9,933
30.95,944
31,962
31.05,948
31.1,951
31.15,918
31.2,929
31.25,889
31.3,844
31.35,840
31.4,800
31.45,788
31.5,791
31.55,752
31.6,757
31.65,757
31.7,784
31.75,781
31.8,781
31.85,783
31.9,813
31.95,853
32,924
32.05,1011
32.1,1151
32.15,1347
32.2,1589
32.25,1833
32.3,2198
32.35,2464
32.4,2694
32.45,2756
32.5,2686
32.55,2543
32.6,2435
32.65,2348
32.7,2278
32.75,2082
32.8,1791
32.85,1491
32.9,1281
32.95,1115
33,1057
33.05,1034
33.1,1105
33.15,1158
33.2,1107
33.25,1057
33.3,984
33.35,871
33.4,805
33.45,743
33.5,667
33.55,638
33.6,648
33.65,629
33.7,618
33.75,629
33.8,624
33.85,610
33.9,613
33.95,599
34,629
34.05,633
34.1,614
34.15,615
34.2,622
34.25,641
34.3,657
34.35,703
34.4,820
34.45,906
34.5,1026
34.55,1084
34.6,1113
34.65,1153
34.7,1074
34.75,1014
34.8,936
34.85,864
34.9,802
34.95,768
35,757
35.05,694
35.1,696
35.15,688
35.2,735
35.25,809
35.3,902
35.35,970
35.4,952
35.45,1026
35.5,987
35.55,995
35.6,912
35.65,881
35.7,885
35.75,873
35.8,856
35.85,874
35.9,885
35.95,914
36,871
36.05,867
36.1,920
36.15,840
36.2,832
36.25,780
36.3,765
36.35,737
36.4,678
36.45,699
36.5,707
36.55,792
36.6,913
36.65,1015
36.7,1054
36.75,1074
36.8,1057
36.85,989
36.9,947
36.95,893
37,914
37.05,929
37.1,967
37.15,1019
37.2,1013
37.25,976
37.3,1016
37.35,1067
37.4,1034
37.45,973
37.5,926
37.55,902
37.6,826
37.65,728
37.7,657
37.75,609
37.8,562
37.85,592
37.9,589
37.95,574
38,614
38.05,644
38.1,602
38.15,606
38.2,613
38.25,606
38.3,603
38.35,644
38.4,666
38.45,605
38.5,637
38.55,626
38.6,626
38.65,646
38.7,576
38.75,591
38.8,580
38.85,589
38.9,560
38.95,576
39,552
39.05,558
39.1,574
39.15,567
39.2,569
39.25,586
39.3,582
39.35,646
39.4,672
39.45,674
39.5,735
39.55,685
39.6,657
39.65,616
39.7,610
39.75,591
39.8,617
39.85,619
39.9,608
39.95,618
40,634
40.05,635
40.1,664
40.15,681
40.2,655
40.25,701
40.3,749
40.35,768
40.4,768
40.45,810
40.5,844
40.55,807
40.6,815
40.65,819
40.7,845
40.75,860
40.8,843
40.85,889
40.9,894
40.95,832
41,863
41.05,807
41.1,848
41.15,862
41.2,902
41.25,907
41.3,915
41.35,918
41.4,945
41.45,1050
41.5,1136
41.55,1140
41.6,1217
41.65,1228
41.7,1196
41.75,1217
41.8,1088
41.85,1142
41.9,1068
41.95,1026
42,1038
42.05,863
42.1,866
42.15,841
42.2,807
42.25,813
42.3,860
42.35,815
42.4,837
42.45,833
42.5,817
42.55,769
42.6,748
42.65,776
42.7,754
42.75,764
42.8,778
42.85,799
42.9,793
42.95,775
43,735
43.05,701
43.1,768
43.15,739
43.2,711
43.25,686
43.3,671
43.35,708
43.4,694
43.45,717
43.5,678
43.55,698
43.6,709
43.65,698
43.7,695
43.75,692
43.8,680
43.85,685
43.9,644
43.95,645
44,622
44.05,641
44.1,655
44.15,662
44.2,727
44.25,703
44.3,685
44.35,676
44.4,664
44.45,670
44.5,656
44.55,625
44.6,639
44.65,664
44.7,672
44.75,683
44.8,677
44.85,691
44.9,667
44.95,657
45,649
45.05,698
45.1,678
45.15,712
45.2,699
45.25,752
45.3,753
45.35,763
45.4,734
45.45,677
45.5,705
45.55,687
45.6,653
45.65,680
45.7,626
45.75,652
45.8,690
45.85,700
45.9,677
45.95,731
46,665
46.05,696
46.1,679
46.15,687
46.2,663
46.25,657
46.3,645
46.35,638
46.4,632
46.45,635
46.5,620
46.55,615
46.6,630
46.65,639
46.7,627
46.75,590
46.8,596
46.85,623
46.9,625
46.95,609
47,606
47.05,590
47.1,601
47.15,600
47.2,615
47.25,619
47.3,623
47.35,629
47.4,656
47.45,692
47.5,670
47.55,684
47.6,719
47.65,732
47.7,731
47.75,795
47.8,789
47.85,753
47.9,784
47.95,759
48,785
48.05,735
48.1,761
48.15,714
48.2,712
48.25,680
48.3,666
48.35,674
48.4,684
48.45,659
48.5,697
48.55,702
48.6,666
48.65,678
48.7,658
48.75,679
48.8,637
48.85,632
48.9,658
48.95,656
49,660
49.05,665
49.1,628
49.15,663
49.2,685
49.25,645
49.3,653
49.35,735
49.4,696
49.45,798
49.5,786
49.55,850
49.6,803
49.65,792
49.7,751
49.75,778
49.8,707
49.85,737
49.9,733
49.95,728
50,757
50.05,731
50.1,703
50.15,695
50.2,687
50.25,658
50.3,649
50.35,662
50.4,679
50.45,665
50.5,659
50.55,657
50.6,647
50.65,631
50.7,624
50.75,582
50.8,607
50.85,606
50.9,609
50.95,606
51,597
51.05,580
51.1,614
51.15,550
51.2,538
51.25,577
51.3,583
51.35,571
51.4,559
51.45,549
51.5,577
51.55,596
51.6,596
51.65,579
51.7,551
51.75,563
51.8,563
51.85,565
51.9,575
51.95,581
52,558
