2-THETA,INTENSITY
21.5,687
21.55,658
21.6,649
21.65,662
21.7,641
21.75,681
21.8,670
21.85,678
21.9,671
21.95,681
22,724
22.05,712
22.1,717
22.15,722
22.2,699
22.25,723
22.3,712
22.35,724
22.4,693
22.45,738
22.5,748
22.55,771
22.6,769
22.65,830
22.7,815
22.75,812
22.8,843
22.85,839
22.9,831
22.95,877
23,865
23.05,881
23.1,858
23.15,866
23.2,834
23.25,849
23.3,852
23.35,830
23.4,818
23.45,874
23.5,799
23.55,832
23.6,805
23.65,813
23.7,809
23.75,805
23.8,798
23.85,819
23.9,814
23.95,838
24,842
24.05,883
24.1,820
24.15,871
24.2,856
24.25,878
24.3,850
24.35,852
24.4,865
24.45,882
24.5,888
24.55,834
24.6,848
24.65,810
24.7,828
24.75,831
24.8,786
24.85,816
24.9,828
24.95,826
25,856
25.05,818
25.1,837
25.15,845
25.2,885
25.25,873
25.3,914
25.35,948
25.4,1029
25.45,1181
25.5,1321
25.55,1521
25.6,1651
25.65,1586
25.7,1633
25.75,1445
25.8,1260
25.85,1030
25.9,951
25.95,853
26,822
26.05,829
26.1,801
26.15,857
26.2,816
26.25,809
26.3,833
26.35,775
26.4,821
26.45,840
26.5,879
26.55,895
26.6,960
26.65,882
26.7,946
26.75,908
26.8,909
26.85,861
26.9,855
26.95,831
27,864
27.05,861
27.1,844
27.15,824
27.2,840
27.25,870
27.3,881
27.35,918
27.4,981
27.45,1092
27.5,1178
27.55,1314
27.6,1399
27.65,1420
27.7,1405
27.75,1280
27.8,1257
27.85,1090
27.9,1084
27.95,1028
28,1013
28.05,1040
28.1,1011
28.15,995
28.2,1033
28.25,1072
28.3,1087
28.35,1123
28.4,1161
28.45,1190
28.5,1179
28.55,1201
28.6,1052
28.65,1070
28.7,1014
28.75,988
28.8,958
28.85,885
28.9,871
28.95,899
29,875
29.05,843
29.1,880
29.15,846
29.2,850
29.25,847
29.3,875
29.35,885
29.4,887
29.45,904
29.5,936
29.55,950
29.6,971
29.65,984
29.7,1001
29.75,1029
29.8,1038
29.85,1072
29.9,1032
29.95,1038
30,978
30.05,996
30.1,907
30.15,885
30.2,869
30.25,859
30.3,865
30.35,806
30.4,853
30.45,801
30.5,813
30.55,798
30.6,831
30.65,828
30.7,876
30.75,904
30.8,937
30.85,968
30.9,958
30.95,1037
31,1019
31.05,1017
31.1,970
31.15,996
31.2,959
31.25,950
31.3,923
31.35,906
31.4,865
31.45,875
31.5,878
31.55,817
31.6,850
31.65,830
31.7,824
31.75,816
31.8,842
31.85,835
31.9,899
31.95,915
32,963
32.05,1047
32.1,1175
32.15,1348
32.2,1524
32.25,1815
32.3,2010
32.35,2246
32.4,2434
32.45,2485
32.5,2412
32.55,2329
32.6,2236
32.65,2193
32.7,2121
32.75,1969
32.8,1618
32.85,1464
32.9,1344
32.95,1195
33,1115
33.05,1061
33.1,1083
33.15,1050
33.2,1042
33.25,1020
33.3,976
33.35,894
33.4,832
33.45,758
33.5,746
33.55,726
33.6,731
33.65,694
33.7,694
33.75,713
33.8,724
33.85,702
33.9,680
33.95,748
34,685
34.05,732
34.1,703
34.15,713
34.2,708
34.25,722
34.3,751
34.35,772
34.4,842
34.45,907
34.5,1004
34.55,1069
34.6,1110
34.65,1095
34.7,1106
34.75,1090
34.8,1017
34.85,923
34.9,910
34.95,891
35,824
35.05,790
35.1,824
35.15,832
35.2,847
35.25,890
35.3,972
35.35,937
35.4,939
35.45,972
35.5,976
35.55,992
35.6,924
35.65,935
35.7,903
35.75,920
35.8,866
35.85,918
35.9,901
35.95,907
36,876
36.05,924
36.1,907
36.15,912
36.2,840
36.25,837
36.3,816
36.35,778
36.4,710
36.45,705
36.5,713
36.55,734
36.6,747
36.65,798
36.7,797
36.75,892
36.8,861
36.85,872
36.9,827
36.95,809
37,834
37.05,799
37.1,825
37.15,782
37.2,819
37.25,817
37.3,885
37.35,877
37.4,862
37.45,802
37.5,832
37.55,829
37.6,809
37.65,768
37.7,721
37.75,713
37.8,699
37.85,744
37.9,711
37.95,776
38,774
38.05,765
38.1,768
38.15,789
38.2,827
38.25,859
38.3,893
38.35,940
38.4,966
38.45,1001
38.5,1040
38.55,1068
38.6,1109
38.65,1142
38.7,1110
38.75,1153
38.8,1228
38.85,1086
38.9,1096
38.95,1018
39,970
39.05,983
39.1,923
39.15,878
39.2,838
39.25,839
39.3,797
39.35,800
39.4,830
39.45,851
39.5,833
39.55,770
39.6,764
39.65,702
39.7,681
39.75,680
39.8,688
39.85,664
39.9,664
39.95,663
40,679
40.05,669
40.1,663
40.15,677
40.2,679
40.25,698
40.3,736
40.35,732
40.4,710
40.45,717
40.5,745
40.55,749
40.6,750
40.65,769
40.7,768
40.75,818
40.8,801
40.85,843
40.9,822
40.95,840
41,792
41.05,849
41.1,869
41.15,869
41.2,908
41.25,967
41.3,938
41.35,970
41.4,1051
41.45,1111
41.5,1212
41.55,1303
41.6,1323
41.65,1323
41.7,1391
41.75,1332
41.8,1340
41.85,1273
41.9,1179
41.95,1249
42,1108
42.05,1012
42.1,1002
42.15,941
42.2,878
42.25,889
42.3,871
42.35,828
42.4,827
42.45,814
42.5,773
42.55,769
42.6,735
42.65,752
42.7,742
42.75,744
42.8,740
42.85,755
42.9,731
42.95,717
43,712
43.05,676
43.1,690
43.15,676
43.2,669
43.25,634
43.3,655
43.35,668
43.4,641
43.45,690
43.5,671
43.55,698
43.6,664
43.65,707
43.7,656
43.75,651
43.8,691
43.85,694
43.9,610
43.95,593
44,623
44.05,611
44.1,623
44.15,644
44.2,679
44.25,678
44.3,625
44.35,624
44.4,628
44.45,643
44.5,598
44.55,624
44.6,648
44.65,612
44.7,598
44.75,652
44.8,649
44.85,623
44.9,619
44.95,603
45,625
45.05,640
45.1,634
45.15,614
45.2,605
45.25,619
45.3,639
45.35,595
45.4,634
45.45,618
45.5,631
45.55,617
45.6,632
45.65,627
45.7,641
45.75,662
45.8,679
45.85,688
45.9,678
45.95,669
46,656
46.05,674
46.1,672
46.15,693
46.2,656
46.25,630
46.3,628
46.35,642
46.4,643
46.45,638
46.5,633
46.55,637
46.6,613
46.65,613
46.7,609
46.75,617
46.8,628
46.85,624
46.9,604
46.95,570
47,591
47.05,601
47.1,624
47.15,632
47.2,656
47.25,650
47.3,653
47.35,680
47.4,695
47.45,727
47.5,751
47.55,758
47.6,776
47.65,754
47.7,776
47.75,788
47.8,781
47.85,780
47.9,849
47.95,827
48,846
48.05,798
48.1,795
48.15,748
48.2,784
48.25,728
48.3,701
48.35,699
48.4,726
48.45,704
48.5,711
48.55,692
48.6,662
48.65,652
48.7,647
48.75,669
48.8,630
48.85,640
48.9,631
48.95,652
49,666
49.05,629
49.1,633
49.15,672
49.2,641
49.25,594
49.3,695
49.35,716
49.4,703
49.45,772
49.5,785
49.55,787
49.6,729
49.65,699
49.7,689
49.75,712
49.8,676
49.85,734
49.9,731
49.95,729
50,725
50.05,700
50.1,712
50.15,695
50.2,669
50.25,713
50.3,665
50.35,649
50.4,690
50.45,702
50.5,645
50.55,645
50.6,650
50.65,658
50.7,626
50.75,596
50.8,620
50.85,627
50.9,604
50.95,625
51,595
51.05,618
51.1,569
51.15,608
51.2,572
51.25,603
51.3,620
51.35,582
51.4,600
51.45,587
51.5,625
51.55,618
51.6,627
51.65,600
51.7,625
51.75,597
51.8,593
51.85,603
51.9,610
51.95,578
52,606
