2-THETA,INTENSITY
2,6232
2.05,11053
2.1,9314
2.15,9539
2.2,11854
2.25,7052
2.3,10386
2.35,8977
2.4,8396
2.45,10096
2.5,8495
2.55,8370
2.6,7193
2.65,7694
2.7,8071
2.75,6593
2.8,7312
2.85,6606
2.9,5786
2.95,6111
3,5594
3.05,5843
3.1,5513
3.15,4822
3.2,5716
3.25,4575
3.3,4759
3.35,4619
3.4,4379
3.45,4448
3.5,3512
3.55,3981
3.6,3456
3.65,3678
3.7,3672
3.75,3051
3.8,3517
3.85,2977
3.9,3079
3.95,3389
4,2778
4.05,3085
4.1,2581
4.15,2692
4.2,2602
4.25,2221
4.3,2440
4.35,2322
4.4,2310
4.45,2295
4.5,2138
4.55,2168
4.6,2083
4.65,1931
4.7,2106
4.75,1857
4.8,1861
4.85,1751
4.9,1732
4.95,1853
5,1728
5.05,1783
5.1,1698
5.15,1592
5.2,1618
5.25,1591
5.3,1648
5.35,1505
5.4,1528
5.45,1541
5.5,1409
5.55,1452
5.6,1349
5.65,1431
5.7,1428
5.75,1354
5.8,1392
5.85,1253
5.9,1415
5.95,1298
6,1292
6.05,1316
6.1,1308
6.15,1450
6.2,1445
6.25,1262
6.3,1468
6.35,1352
6.4,1412
6.45,1343
6.5,1460
6.55,1411
6.6,1389
6.65,1424
6.7,1302
6.75,1250
6.8,1130
6.85,1271
6.9,1192
6.95,1090
7,1027
7.05,952
7.1,973
7.15,1025
7.2,983
7.25,998
7.3,951
7.35,903
7.4,920
7.45,906
7.5,872
7.55,914
7.6,928
7.65,911
7.7,885
7.75,865
7.8,833
7.85,888
7.9,830
7.95,841
8,810
8.05,818
8.1,833
8.15,831
8.2,790
8.25,913
8.3,780
8.35,798
8.4,814
8.45,800
8.5,813
8.55,784
8.6,853
8.65,803
8.7,774
8.75,776
8.8,814
8.85,794
8.9,802
8.95,824
9,814
9.05,784
9.1,825
9.15,812
9.2,829
9.25,796
9.3,760
9.35,756
9.4,716
9.45,779
9.5,715
9.55,753
9.6,767
9.65,767
9.7,785
9.75,809
9.8,789
9.85,779
9.9,739
9.95,702
10,746
10.05,730
10.1,761
10.15,719
10.2,756
10.25,764
10.3,709
10.35,696
10.4,715
10.45,725
10.5,718
10.55,701
10.6,677
10.65,660
10.7,669
10.75,648
10.8,701
10.85,651
10.9,648
10.95,648
11,677
11.05,603
11.1,556
11.15,612
11.2,648
11.25,590
11.3,590
11.35,588
11.4,579
11.45,624
11.5,550
11.55,557
11.6,521
11.65,564
11.7,560
11.75,541
11.8,560
11.85,544
11.9,579
11.95,526
12,533
12.05,502
12.1,553
12.15,553
12.2,560
12.25,532
12.3,551
12.35,529
12.4,561
12.45,517
12.5,514
12.55,517
12.6,549
12.65,542
12.7,498
12.75,525
12.8,563
12.85,509
12.9,562
12.95,555
13,547
13.05,558
13.1,531
13.15,548
13.2,502
13.25,508
13.3,507
13.35,515
13.4,505
13.45,530
13.5,586
13.55,523
13.6,526
13.65,549
13.7,568
13.75,567
13.8,502
13.85,509
13.9,544
13.95,513
14,519
14.05,514
14.1,516
14.15,540
14.2,522
14.25,510
14.3,489
14.35,528
14.4,536
14.45,543
14.5,547
14.55,514
14.6,528
14.65,566
14.7,556
14.75,505
14.8,523
14.85,543
14.9,526
14.95,561
15,508
15.05,521
15.1,514
15.15,521
15.2,495
15.25,534
15.3,517
15.35,477
15.4,549
15.45,505
15.5,527
15.55,550
15.6,566
15.65,519
15.7,518
15.75,539
15.8,584
15.85,586
15.9,646
15.95,663
16,684
16.05,645
16.1,660
16.15,618
16.2,602
16.25,607
16.3,557
16.35,585
16.4,558
16.45,577
16.5,563
16.55,573
16.6,524
16.65,574
16.7,601
16.75,613
16.8,563
16.85,617
16.9,631
16.95,688
17,764
17.05,750
17.1,804
17.15,786
17.2,753
17.25,716
17.3,661
17.35,642
17.4,598
17.45,584
17.5,602
17.55,624
17.6,615
17.65,635
17.7,622
17.75,571
17.8,586
17.85,588
17.9,584
17.95,594
18,573
18.05,560
18.1,603
18.15,554
18.2,598
18.25,579
18.3,613
18.35,623
18.4,546
18.45,583
18.5,545
18.55,561
18.6,580
18.65,563
18.7,543
18.75,583
18.8,558
18.85,579
18.9,567
18.95,573
19,552
19.05,558
19.1,548
19.15,573
19.2,578
19.25,542
19.3,540
19.35,557
19.4,590
19.45,575
19.5,575
19.55,607
19.6,583
19.65,588
19.7,588
19.75,571
19.8,586
19.85,581
19.9,632
19.95,612
20,640
20.05,615
20.1,594
20.15,604
20.2,603
20.25,589
20.3,625
20.35,586
20.4,622
20.45,616
20.5,610
20.55,620
20.6,594
20.65,589
20.7,657
20.75,597
20.8,617
20.85,628
20.9,642
20.95,601
21,629
21.05,606
21.1,655
21.15,616
21.2,636
21.25,603
21.3,638
21.35,622
21.4,593
21.45,686
