KEV,INTENSITY
0.3942,4.7565
0.4019,4.7246
0.4096,4.6889
0.4174,4.6551
0.4251,4.6196
0.4328,4.5846
0.4405,4.5471
0.4483,4.5118
0.456,4.4734
0.4637,4.4392
0.4715,4.4044
0.4792,4.3718
0.4869,4.3361
0.4946,4.3013
0.5024,4.2656
0.5101,4.2302
0.5178,4.1937
0.5256,4.1626
0.5333,4.1296
0.541,4.0981
0.5487,4.0656
0.5565,4.0346
0.5642,4.0016
0.5719,3.9699
0.5797,3.9361
0.5874,3.9077
0.5951,3.8788
0.6029,3.85
0.6106,3.8219
0.6183,3.7915
0.626,3.7637
0.6338,3.7309
0.6415,3.6979
0.6492,3.6801
0.657,3.6558
0.6647,3.6259
0.6724,3.6003
0.6801,3.5774
0.6879,3.5491
0.6956,3.5259
0.7033,3.4982
0.7111,3.4777
0.7188,3.4572
0.7265,3.4357
0.7342,3.4142
0.742,3.3895
0.7497,3.3613
0.7574,3.3372
0.7652,3.3187
0.7729,3.307
0.7806,3.2915
0.7883,3.2745
0.7961,3.2575
0.8038,3.2269
0.8115,3.2
0.8193,3.1921
0.827,3.1859
0.8347,3.1738
0.8424,3.1673
0.8502,3.1631
0.8579,3.1558
0.8656,3.1367
0.8734,3.1246
0.8811,3.1065
0.8888,3.0949
0.8965,3.0829
0.9043,3.0652
0.912,3.0566
0.9197,3.0427
0.9275,3.0343
0.9352,3.0214
0.9429,3.0124
0.9506,2.9966
0.9584,2.9841
0.9661,2.9752
0.9738,2.9672
0.9816,2.9561
0.9893,2.9394
0.997,2.9286
1.0047,2.9204
1.0125,2.9065
1.0202,2.8977
1.0279,2.8878
1.0357,2.8799
1.0434,2.8687
1.0511,2.8573
1.0588,2.8467
1.0666,2.8385
1.0743,2.8272
1.082,2.8141
1.0898,2.807
1.0975,2.7967
1.1052,2.7879
1.113,2.7796
1.1207,2.7679
1.1284,2.759
1.1361,2.7455
1.1439,2.7334
1.1516,2.7238
1.1593,2.7137
1.1671,2.7072
1.1748,2.6976
1.1825,2.684
1.1902,2.6724
1.198,2.6672
1.2057,2.6552
1.2134,2.6463
1.2212,2.6453
1.2289,2.629
1.2366,2.6226
1.2443,2.6169
