KEV,INTENSITY
0.39708,4.83028
0.40487,4.79693
0.41265,4.76304
0.42044,4.7286
0.42822,4.69442
0.43601,4.66199
0.4438,4.62804
0.45158,4.5959
0.45937,4.56205
0.46715,4.52816
0.47494,4.49408
0.48273,4.46051
0.49051,4.42792
0.4983,4.39604
0.50608,4.36274
0.51387,4.33162
0.52165,4.29874
0.52944,4.26565
0.53723,4.23406
0.54501,4.20128
0.5528,4.17018
0.56058,4.13773
0.56837,4.10764
0.57616,4.07848
0.58394,4.04357
0.59173,4.011
0.59951,3.97733
0.6073,3.94367
0.61509,3.91971
0.62287,3.89416
0.63066,3.86912
0.63844,3.84322
0.64623,3.81745
0.65401,3.78872
0.6618,3.75656
0.66959,3.73075
0.67737,3.70404
0.68516,3.68376
0.69294,3.66412
0.70073,3.64193
0.70852,3.61861
0.7163,3.59504
0.72409,3.57437
0.73187,3.55032
0.73966,3.53386
0.74745,3.51408
0.75523,3.49794
0.76302,3.48489
0.7708,3.46992
0.77859,3.45411
0.78637,3.43041
0.79416,3.40995
0.80195,3.39514
0.80973,3.37729
0.81752,3.35648
0.8253,3.34513
0.83309,3.32973
0.84088,3.31238
0.84866,3.29473
0.85645,3.28123
0.86423,3.26901
0.87202,3.25073
0.87981,3.2393
0.88759,3.22399
0.89538,3.20969
0.90316,3.19433
0.91095,3.1791
0.91873,3.16443
0.92652,3.15376
0.93431,3.14293
0.94209,3.12616
0.94988,3.11606
0.95766,3.10063
0.96545,3.09227
0.97324,3.07834
0.98102,3.0639
0.98881,3.05488
0.99659,3.04781
1.00438,3.02688
1.01217,3.01623
1.01995,3.00096
1.02774,2.99423
1.03552,2.98235
1.04331,2.96666
1.05109,2.95183
1.05888,2.94268
1.06667,2.93354
1.07445,2.92212
1.08224,2.90246
1.09002,2.90233
1.09781,2.88391
1.1056,2.8747
1.11338,2.85983
1.12117,2.85318
1.12895,2.8397
1.13674,2.83301
1.14453,2.82201
1.15231,2.81116
1.1601,2.79564
1.16788,2.79013
1.17567,2.78035
1.18345,2.76079
1.19124,2.75447
1.19903,2.7514
1.20681,2.73999
1.2146,2.72614
1.22238,2.72331
1.23017,2.70728
1.23796,2.69488
1.24574,2.68806
1.25353,2.67051
1.26131,2.66548
1.2691,2.66659
1.27689,2.64794
1.28467,2.63818
1.29246,2.63417
1.30024,2.62096
1.30803,2.62289
1.31582,2.61141
1.3236,2.60359
1.33139,2.59313
1.33917,2.58661
1.34696,2.57547
1.35474,2.57677
1.36253,2.5734
1.37032,2.56059
1.3781,2.56321
1.38589,2.55079
1.39367,2.54347
1.40146,2.53106
1.40925,2.53136
1.41703,2.52359
1.42482,2.51287
1.4326,2.52678
1.44039,2.51298
1.44818,2.51111
1.45596,2.50835
1.46375,2.50129
1.47153,2.49254
1.47932,2.47772
1.4871,2.48873
1.49489,2.47472
1.50268,2.46997
1.51046,2.46965
1.51825,2.46283
1.52603,2.45923
1.53382,2.45642
1.54161,2.45003
1.54939,2.44037
1.55718,2.4262
1.56496,2.4303
1.57275,2.42618
1.58054,2.41547
1.58832,2.41168
1.59611,2.40867
1.60389,2.40688
1.61168,2.39534
1.61946,2.38334
1.62725,2.36904
1.63504,2.36391
1.64282,2.36396
1.65061,2.35374
1.65839,2.3512
1.66618,2.33602
1.67397,2.34036
1.68175,2.33089
1.68954,2.32411
1.69732,2.32556
1.70511,2.3127
1.7129,2.32606
1.72068,2.31717
1.72847,2.31575
1.73625,2.31572
1.74404,2.30451
1.75182,2.29267
1.75961,2.29278
1.7674,2.28391
1.77518,2.28049
1.78297,2.28402
1.79075,2.25696
1.79854,2.25444
1.80633,2.25892
1.81411,2.25464
1.8219,2.24582
1.82968,2.2332
1.83747,2.2404
1.84526,2.2225
1.85304,2.22995
1.86083,2.22423
1.86861,2.2155
1.8764,2.20571
1.88418,2.19663
1.89197,2.20691
1.89976,2.21186
1.90754,2.19484
1.91533,2.18854
1.92311,2.17684
1.9309,2.18454
1.93869,2.17731
1.94647,2.17982
1.95426,2.15684
1.96204,2.17816
1.96983,2.17792
1.97762,2.17696
1.9854,2.16197
1.99319,2.15301
2.00097,2.15361
2.00876,2.15431
2.01655,2.15466
2.02433,2.15209
2.03212,2.14048
2.0399,2.14745
2.04769,2.15246
2.05547,2.14214
2.06326,2.14439
2.07105,2.15116
2.07883,2.13423
2.08662,2.13488
2.0944,2.13301
2.10219,2.13006
2.10998,2.12521
2.11776,2.1337
2.12555,2.11376
2.13333,2.13278
2.14112,2.12006
2.14891,2.13167
2.15669,2.11586
2.16448,2.1034
2.17226,2.11173
2.18005,2.11047
2.18783,2.10631
2.19562,2.10169
2.20341,2.09872
2.21119,2.09072
2.21898,2.09732
2.22676,2.0876
2.23455,2.09344
2.24234,2.08334
2.25012,2.09544
2.25791,2.07873
2.26569,2.06957
2.27348,2.06432
2.28127,2.07288
2.28905,2.06312
2.29684,2.06596
2.30462,2.05209
2.31241,2.03683
2.32019,2.04994
2.32798,2.02386
2.33577,2.02052
2.34355,2.02127
2.35134,2.00874
2.35912,2.02064
2.36691,2.01181
2.3747,1.98507
2.38248,1.98879
2.39027,1.97661
2.39805,1.98024
2.40584,1.98618
2.41363,1.96516
2.42141,1.96293
2.4292,1.96543
2.43698,1.94982
2.44477,1.92847
2.45255,1.933
2.46034,1.94028
2.46813,1.91115
2.47591,1.91416
2.4837,1.89846
2.49148,1.89155
2.49927,1.90076
2.50706,1.89968
2.51484,1.8712
2.52263,1.88565
2.53041,1.87374
2.5382,1.86642
2.54599,1.84911
2.55377,1.83548
2.56156,1.83262
2.56934,1.81517
2.57713,1.80541
2.58491,1.81947
2.5927,1.79018
2.60049,1.7805
2.60827,1.80896
2.61606,1.7875
2.62384,1.79241
2.63163,1.78287
2.63942,1.74613
2.6472,1.74869
2.65499,1.75268
2.66277,1.76297
2.67056,1.7412
2.67835,1.74773
2.68613,1.73389
2.69392,1.74099
2.7017,1.72201
2.70949,1.73747
2.71727,1.71601
2.72506,1.72137
2.73285,1.71028
2.74063,1.73854
2.74842,1.73669
2.7562,1.75656
2.76399,1.74031
2.77178,1.72155
2.77956,1.73014
2.78735,1.73664
2.79513,1.70326
2.80292,1.73728
2.81071,1.70724
2.81849,1.71511
2.82628,1.71426
2.83406,1.71049
2.84185,1.69866
2.84964,1.70869
2.85742,1.73704
2.86521,1.72572
2.87299,1.72876
2.88078,1.71302
2.88856,1.71466
2.89635,1.7195
2.90414,1.74022
2.91192,1.68691
2.91971,1.70893
2.92749,1.72995
2.93528,1.71159
2.94307,1.70612
2.95085,1.72747
2.95864,1.70582
2.96642,1.70555
2.97421,1.7465
2.982,1.71209
2.98978,1.73406
2.99757,1.75412
3.00535,1.76867
3.01314,1.75096
3.02092,1.75083
3.02871,1.7532
3.0365,1.74833
3.04428,1.78206
3.05207,1.76187
3.05985,1.77698
3.06764,1.77553
3.07543,1.79703
3.08321,1.77395
3.091,1.80496
3.09878,1.81148
3.10657,1.81556
3.11436,1.81812
3.12214,1.8392
3.12993,1.83732
3.13771,1.86246
3.1455,1.86779
3.15328,1.88395
3.16107,1.8803
3.16886,1.88394
3.17664,1.92028
3.18443,1.92585
3.19221,1.93891
3.2,1.94556
3.20779,1.97097
3.21557,1.98908
3.22336,1.98035
3.23114,2.0072
3.23893,2.00727
3.24672,2.03178
3.2545,2.04602
3.26229,2.06914
3.27007,2.07077
3.27786,2.10462
3.28564,2.11715
3.29343,2.13418
3.30122,2.15981
3.309,2.15893
3.31679,2.18125
3.32457,2.20874
3.33236,2.22042
3.34015,2.25706
3.34793,2.26256
3.35572,2.28845
3.3635,2.31266
3.37129,2.32403
3.37908,2.33952
3.38686,2.35972
3.39465,2.38133
3.40243,2.39891
3.41022,2.41075
3.418,2.43465
3.42579,2.4455
3.43358,2.47058
3.44136,2.4956
3.44915,2.49904
3.45693,2.52869
3.46472,2.54542
3.47251,2.55647
3.48029,2.5704
3.48808,2.58097
3.49586,2.58572
3.50365,2.60553
3.51144,2.60099
3.51922,2.61564
3.52701,2.62431
3.53479,2.64352
3.54258,2.64617
3.55036,2.65559
3.55815,2.65915
3.56594,2.67699
3.57372,2.66911
3.58151,2.67966
3.58929,2.68288
3.59708,2.68516
3.60487,2.69833
3.61265,2.7012
3.62044,2.69962
3.62822,2.70369
3.63601,2.71447
3.6438,2.70982
3.65158,2.71116
3.65937,2.71085
3.66715,2.72071
3.67494,2.71741
3.68273,2.72235
3.69051,2.7269
3.6983,2.72283
3.70608,2.7273
3.71387,2.7227
3.72165,2.71176
3.72944,2.70873
3.73723,2.70911
3.74501,2.699
3.7528,2.69521
3.76058,2.68916
3.76837,2.68466
3.77616,2.67176
3.78394,2.66963
3.79173,2.66261
3.79951,2.64319
3.8073,2.64703
3.81509,2.6329
3.82287,2.62649
3.83066,2.60482
3.83844,2.60883
3.84623,2.59081
3.85401,2.58265
3.8618,2.56946
3.86959,2.55832
3.87737,2.55229
3.88516,2.53465
3.89294,2.53338
3.90073,2.51623
3.90852,2.49886
3.9163,2.48557
3.92409,2.46666
3.93187,2.46306
3.93966,2.46031
3.94745,2.44083
3.95523,2.42347
3.96302,2.41224
3.9708,2.3944
3.97859,2.38638
3.98637,2.37159
3.99416,2.35384
4.00195,2.34219
4.00973,2.33325
4.01752,2.32506
4.0253,2.31124
4.03309,2.28495
4.04088,2.27735
4.04866,2.26039
4.05645,2.24254
4.06423,2.23327
4.07202,2.22293
4.07981,2.20467
4.08759,2.18816
4.09538,2.18991
4.10316,2.16918
4.11095,2.15517
4.11873,2.14072
4.12652,2.13189
4.13431,2.12152
4.14209,2.10265
4.14988,2.09326
4.15766,2.08553
4.16545,2.08539
4.17324,2.07427
4.18102,2.06373
4.18881,2.04614
4.19659,2.02919
4.20438,2.02764
4.21217,2.01226
4.21995,2.01823
4.22774,2.00786
4.23552,1.99237
4.24331,2.00137
4.25109,1.96242
4.25888,1.98651
4.26667,1.98201
4.27445,1.96886
4.28224,1.9636
4.29002,1.95576
4.29781,1.95845
4.3056,1.95966
4.31338,1.97198
4.32117,1.96234
4.32895,1.96227
4.33674,1.96653
4.34453,1.96752
4.35231,1.9633
4.3601,1.95294
4.36788,1.96699
4.37567,1.97185
4.38345,1.96416
4.39124,1.95783
4.39903,1.95115
4.40681,1.96765
4.4146,1.95601
4.42238,1.9708
4.43017,1.97026
4.43796,1.95777
4.44574,1.97421
4.45353,1.9573
4.46131,1.95756
4.4691,1.9632
4.47689,1.95441
4.48467,1.94686
4.49246,1.96206
4.50024,1.95743
4.50803,1.95231
4.51582,1.94312
4.5236,1.94806
4.53139,1.93485
4.53917,1.93327
4.54696,1.91456
4.55474,1.91411
4.56253,1.91235
4.57032,1.89657
4.5781,1.89908
4.58589,1.88688
4.59367,1.87772
4.60146,1.87704
4.60925,1.87199
4.61703,1.85075
4.62482,1.84734
4.6326,1.8625
4.64039,1.84556
