0.65527,2.88265
0.66272,2.86795
0.67016,2.85417
0.67761,2.84468
0.68505,2.83037
0.6925,2.82115
0.69995,2.81642
0.70739,2.80381
0.71484,2.79373
0.72228,2.78505
0.72973,2.78228
0.73718,2.77089
0.74462,2.76399
0.75207,2.74495
0.75952,2.74615
0.76696,2.73962
0.77441,2.7253
0.78185,2.72565
0.7893,2.71461
0.79675,2.70192
0.80419,2.69748
0.81164,2.67716
0.81909,2.67654
0.82653,2.66373
0.83398,2.65432
0.84142,2.63335
0.84887,2.63738
0.85632,2.62192
0.86376,2.60863
0.87121,2.59703
0.87866,2.5877
0.8861,2.5753
0.89355,2.57469
0.90099,2.53603
0.90844,2.54612
0.91589,2.53908
0.92333,2.51927
0.93078,2.49115
0.93823,2.46868
0.94567,2.47197
0.95312,2.44236
0.96056,2.43588
0.96801,2.418
0.97546,2.41184
0.9829,2.39317
0.99035,2.37658
0.9978,2.35747
1.00524,2.34259
1.01269,2.32631
1.02013,2.31844
1.02758,2.27865
1.03503,2.27148
1.04247,2.26017
1.04992,2.23339
1.05737,2.20901
1.06481,2.23682
1.07226,2.21749
1.0797,2.2422
1.08715,2.2348
1.0946,2.22204
1.10204,2.211
1.10949,2.20997
1.11694,2.19687
1.12438,2.17119
1.13183,2.1971
1.13927,2.16274
1.14672,2.18829
1.15417,2.16397
1.16161,2.16402
1.16906,2.17287
1.17651,2.15583
1.18395,2.14923
1.1914,2.15961
1.19884,2.13715
1.20629,2.15124
1.21374,2.1516
1.22118,2.13039
1.22863,2.14516
1.23608,2.14595
1.24352,2.15349
1.25097,2.14093
1.25841,2.15039
1.26586,2.13054
1.27331,2.15296
1.28075,2.1477
1.2882,2.15358
1.29565,2.15142
1.30309,2.16735
1.31054,2.18168
1.31798,2.16958
1.32543,2.18845
1.33288,2.19585
1.34032,2.20488
1.34777,2.21944
1.35522,2.21927
1.36266,2.25315
1.37011,2.25587
1.37755,2.26672
1.385,2.26865
1.39245,2.26587
1.39989,2.29372
1.40734,2.29543
1.41478,2.30859
1.42223,2.30285
1.42968,2.31541
1.43712,2.31299
1.44457,2.32841
1.45202,2.34571
1.45946,2.32283
1.46691,2.32529
1.47435,2.33402
1.4818,2.33385
1.48925,2.32604
1.49669,2.32082
1.50414,2.31663
1.51159,2.30715
1.51903,2.27735
1.52648,2.25802
1.53392,2.26679
1.54137,2.23305
1.54882,2.23995
1.55626,2.20904
1.56371,2.20265
1.57116,2.18629
1.5786,2.16645
1.58605,2.1518
1.59349,2.12339
1.60094,2.13306
1.60839,2.10755
1.61583,2.12119
1.62328,2.10732
1.63073,2.09537
1.63817,2.08702
1.64562,2.07186
1.65306,2.072
1.66051,2.06375
1.66796,2.06054
1.6754,2.03765
1.68285,2.0427
1.6903,2.03732
1.69774,2.05642
1.70519,2.03832
1.71263,2.03718
1.72008,2.01249
1.72753,2.03256
1.73497,2.04933
1.74242,2.02582
1.74987,2.01353
1.75731,2.00269
1.76476,1.99965
1.7722,2.00499
1.77965,1.99846
1.7871,1.95729
1.79454,1.96462
1.80199,1.96779
1.80944,1.96361
1.81688,1.96492
1.82433,1.93535
1.83177,1.93281
1.83922,1.94121
1.84667,1.92885
1.85411,1.94932
1.86156,1.89652
1.86901,1.88967
1.87645,1.87728
1.8839,1.90165
1.89134,1.86775
1.89879,1.86009
1.90624,1.87185
1.91368,1.84655
1.92113,1.83212
1.92858,1.80559
1.93602,1.83437
1.94347,1.79186
1.95091,1.74362
1.95836,1.77021
1.96581,1.74452
1.97325,1.74217
1.9807,1.7386
1.98815,1.76061
1.99559,1.75891
2.00304,1.76979
2.01048,1.77309
2.01793,1.78164
2.02538,1.75574
2.03282,1.74394
2.04027,1.69659
2.04772,1.71234
2.05516,1.68869
2.06261,1.68149
2.07005,1.66765
2.0775,1.6677
2.08495,1.64222
2.09239,1.63679
2.09984,1.63512
2.10728,1.65057
2.11473,1.65559
2.12218,1.63468
2.12962,1.61751
2.13707,1.62741
2.14452,1.61514
2.15196,1.61882
2.15941,1.63477
2.16685,1.6464
2.1743,1.62414
2.18175,1.62879
2.18919,1.68168
2.19664,1.66678
2.20409,1.6813
2.21153,1.67672
2.21898,1.67642
2.22642,1.69089
2.23387,1.68773
2.24132,1.69887
2.24876,1.66676
2.25621,1.70769
2.26366,1.68559
2.2711,1.71108
2.27855,1.70297
2.28599,1.69752
2.29344,1.70867
2.30089,1.72812
2.30833,1.71859
2.31578,1.68849
2.32323,1.71635
2.33067,1.70562
2.33812,1.69283
2.34556,1.68089
2.35301,1.69081
2.36046,1.66515
2.3679,1.67634
2.37535,1.62839
2.3828,1.66351
2.39024,1.62802
2.39769,1.6467
2.40513,1.62992
2.41258,1.5881
2.42003,1.59612
2.42747,1.58991
2.43492,1.61571
2.44237,1.55409
2.44981,1.56347
2.45726,1.52438
2.4647,1.56112
2.47215,1.54973
2.4796,1.5308
2.48704,1.55684
2.49449,1.54579
2.50194,1.57449
2.50938,1.51767
2.51683,1.56116
2.52427,1.54482
2.53172,1.57852
2.53917,1.58589
2.54661,1.58659
2.55406,1.57749
2.56151,1.51329
2.56895,1.57842
2.5764,1.56248
2.58384,1.62269
2.59129,1.57236
2.59874,1.58722
2.60618,1.57615
2.61363,1.56764
2.62108,1.56579
2.62852,1.55669
2.63597,1.56044
2.64341,1.53161
2.65086,1.53385
2.65831,1.53754
2.66575,1.55792
2.6732,1.51499
2.68065,1.5019
2.68809,1.53222
2.69554,1.55676
2.70298,1.54057
2.71043,1.49415
2.71788,1.51069
2.72532,1.50322
2.73277,1.46719
