KEV,INTENSITY
0.39588,4.71512
0.40364,4.67711
0.4114,4.63965
0.41916,4.60173
0.42693,4.56273
0.43469,4.52105
0.44245,4.48748
0.45021,4.44749
0.45797,4.41332
0.46574,4.37403
0.4735,4.33676
0.48126,4.30203
0.48902,4.26166
0.49679,4.22263
0.50455,4.19162
0.51231,4.15378
0.52007,4.12206
0.52784,4.08418
0.5356,4.05265
0.54336,4.01756
0.55112,3.98402
0.55888,3.94942
0.56665,3.92091
0.57441,3.88732
0.58217,3.85899
0.58993,3.8256
0.5977,3.80136
0.60546,3.77
0.61322,3.73942
0.62098,3.70809
0.62874,3.68792
0.63651,3.65424
0.64427,3.63492
0.65203,3.60815
0.65979,3.58299
0.66756,3.55994
0.67532,3.53002
0.68308,3.50946
0.69084,3.49182
0.69861,3.47222
0.70637,3.44889
0.71413,3.42482
0.72189,3.40346
0.72965,3.38141
0.73742,3.36881
0.74518,3.34369
0.75294,3.32553
0.7607,3.2999
0.76847,3.29006
0.77623,3.27514
0.78399,3.24334
0.79175,3.22428
0.79951,3.21035
0.80728,3.18931
0.81504,3.18729
0.8228,3.19049
0.83056,3.19252
0.83833,3.17957
0.84609,3.17498
0.85385,3.15329
0.86161,3.14297
0.86938,3.12498
0.87714,3.11203
0.8849,3.09696
0.89266,3.08395
0.90042,3.06829
0.90819,3.05062
0.91595,3.0506
0.92371,3.03153
0.93147,3.02296
0.93924,3.00464
0.947,2.99832
0.95476,2.9852
0.96252,2.96845
0.97029,2.95993
0.97805,2.95167
0.98581,2.94399
0.99357,2.92432
1.00133,2.91434
1.0091,2.90702
1.01686,2.88682
1.02462,2.87759
1.03238,2.87075
1.04015,2.85855
1.04791,2.8458
1.05567,2.82762
1.06343,2.82964
1.07119,2.81367
1.07896,2.8113
1.08672,2.80392
1.09448,2.78648
1.10224,2.77025
1.11001,2.7672
1.11777,2.74822
1.12553,2.73397
1.13329,2.73057
1.14106,2.72285
1.14882,2.70273
1.15658,2.70194
1.16434,2.68722
1.1721,2.67829
1.17987,2.6831
1.18763,2.65965
1.19539,2.64307
1.20315,2.63428
1.21092,2.63173
1.21868,2.62838
1.22644,2.61844
1.2342,2.60316
1.24196,2.59033
1.24973,2.58929
1.25749,2.58261
1.26525,2.57882
1.27301,2.56419
1.28078,2.55057
1.28854,2.55091
1.2963,2.53745
1.30406,2.5242
1.31183,2.5341
1.31959,2.5256
1.32735,2.51879
1.33511,2.51121
1.34287,2.49922
1.35064,2.51137
1.3584,2.47524
1.36616,2.48321
1.37392,2.47497
1.38169,2.47174
1.38945,2.47509
1.39721,2.45621
1.40497,2.47439
1.41273,2.45999
1.4205,2.4477
1.42826,2.44415
1.43602,2.44238
1.44378,2.44042
1.45155,2.44425
1.45931,2.43142
1.46707,2.40832
1.47483,2.41405
1.4826,2.41274
1.49036,2.40687
1.49812,2.40098
1.50588,2.40739
1.51364,2.39715
1.52141,2.38325
1.52917,2.38202
1.53693,2.3803
1.54469,2.3581
1.55246,2.34968
1.56022,2.37457
1.56798,2.33855
1.57574,2.33722
1.58351,2.34239
1.59127,2.34219
1.59903,2.32503
1.60679,2.32178
1.61455,2.31186
1.62232,2.31231
1.63008,2.30365
1.63784,2.29067
1.6456,2.28222
1.65337,2.26558
1.66113,2.27181
1.66889,2.24702
1.67665,2.23775
1.68441,2.23992
1.69218,2.2415
1.69994,2.21779
1.7077,2.21068
1.71546,2.20734
1.72323,2.20992
1.73099,2.19619
1.73875,2.17239
1.74651,2.15219
1.75428,2.15675
1.76204,2.13923
1.7698,2.14778
1.77756,2.17885
1.78532,2.19122
1.79309,2.18199
1.80085,2.16712
1.80861,2.15247
1.81637,2.17089
1.82414,2.17072
1.8319,2.15459
1.83966,2.15389
1.84742,2.16291
1.85518,2.11571
1.86295,2.12728
1.87071,2.10539
1.87847,2.08452
1.88623,2.13105
1.894,2.10566
1.90176,2.10818
1.90952,2.1097
1.91728,2.08792
1.92505,2.09509
1.93281,2.05205
1.94057,2.07099
1.94833,2.05975
1.95609,2.03613
1.96386,2.04224
1.97162,2.03675
1.97938,2.02287
1.98714,2.02042
1.99491,2.03805
2.00267,2.00851
2.01043,1.98416
2.01819,2.01772
2.02596,1.99924
2.03372,1.98978
2.04148,1.98055
2.04924,1.98489
2.057,1.97018
2.06477,1.98674
2.07253,1.95279
2.08029,1.95669
2.08805,1.94074
2.09582,1.93319
2.10358,1.93555
2.11134,1.95896
2.1191,1.95298
2.12686,1.93845
2.13463,1.92691
2.14239,1.93459
2.15015,1.94702
2.15791,1.93942
2.16568,1.9462
2.17344,1.92123
2.1812,1.89799
2.18896,1.92044
2.19673,1.93829
2.20449,1.93322
2.21225,1.92682
2.22001,1.93136
2.22777,1.94033
2.23554,1.91752
2.2433,1.93169
2.25106,1.94063
2.25882,1.95458
2.26659,1.94573
2.27435,1.96555
2.28211,1.93105
2.28987,1.93895
2.29763,1.95371
2.3054,1.92459
2.31316,1.91542
2.32092,1.90496
2.32868,1.91979
2.33645,1.90278
2.34421,1.92102
2.35197,1.89569
2.35973,1.89054
2.3675,1.88421
2.37526,1.88294
2.38302,1.89873
2.39078,1.87779
2.39854,1.86365
2.40631,1.85465
2.41407,1.87837
2.42183,1.88229
2.42959,1.8452
2.43736,1.81809
2.44512,1.83205
2.45288,1.83258
2.46064,1.82045
2.46841,1.79355
2.47617,1.81828
2.48393,1.78682
2.49169,1.80912
2.49945,1.76571
2.50722,1.78089
2.51498,1.76293
2.52274,1.74441
2.5305,1.74272
2.53827,1.74905
2.54603,1.73249
2.55379,1.73795
2.56155,1.74949
2.56931,1.70509
2.57708,1.72262
2.58484,1.74769
2.5926,1.74117
2.60036,1.69734
2.60813,1.72269
2.61589,1.71736
2.62365,1.73649
2.63141,1.73588
2.63918,1.66209
2.64694,1.72181
2.6547,1.66865
2.66246,1.7066
2.67022,1.70732
2.67799,1.71048
2.68575,1.70057
2.69351,1.68477
2.70127,1.67702
2.70904,1.68401
2.7168,1.65992
2.72456,1.69129
2.73232,1.63167
2.74008,1.69958
2.74785,1.67751
2.75561,1.65189
2.76337,1.64636
2.77113,1.61254
2.7789,1.6398
2.78666,1.6444
2.79442,1.64477
2.80218,1.68752
2.80995,1.70697
2.81771,1.69049
2.82547,1.69198
2.83323,1.67303
2.84099,1.68149
2.84876,1.68416
2.85652,1.62533
2.86428,1.66745
2.87204,1.66457
2.87981,1.69505
2.88757,1.66528
2.89533,1.66
2.90309,1.68361
2.91086,1.66185
2.91862,1.64305
2.92638,1.64365
2.93414,1.6498
2.9419,1.66342
2.94967,1.67082
2.95743,1.67539
2.96519,1.67872
2.97295,1.67792
2.98072,1.65295
2.98848,1.70123
2.99624,1.65363
3.004,1.68802
3.01176,1.70216
3.01953,1.66199
3.02729,1.69209
3.03505,1.69265
3.04281,1.7398
3.05058,1.70654
3.05834,1.72204
3.0661,1.73126
3.07386,1.72399
3.08163,1.74738
3.08939,1.79855
3.09715,1.79015
3.10491,1.78748
3.11267,1.7988
3.12044,1.79138
3.1282,1.80965
3.13596,1.82644
3.14372,1.84771
3.15149,1.83942
3.15925,1.88735
3.16701,1.88605
3.17477,1.88502
3.18253,1.88818
3.1903,1.91667
3.19806,1.92165
3.20582,1.91778
3.21358,1.96341
3.22135,1.95148
3.22911,1.97452
3.23687,1.97424
3.24463,2.02529
3.2524,2.02911
3.26016,2.03566
3.26792,2.04437
3.27568,2.04885
3.28344,2.06996
3.29121,2.09681
3.29897,2.10748
3.30673,2.11589
3.31449,2.12961
