MINERAL,PERCENT,ERROR
Plagioclase,70.5,4.1
Sanidine,6.3,1.8
Anhydrite,3.9,1.3
Quartz,2.1,0.6
Hematite,2.5,1.6
Fe-carbonate,3.1,0.9
Pyroxene,11.6,3.5
