MINERAL,PERCENT,ERROR
PLAGIOCLASE,55.7,3.8
AUGITE,5.2,2.6
PIGEONITE,10.9,1.7
FORSTERITE,0.5,1.9
MAGNETITE,7.1,1.4
QUARTZ,1.9,0.7
HEMATITE,7.1,1.4
JAROSITE,7.3,3.8
APATITE,4.3,2.4
