MINERAL,PERCENT,ERROR
Plagioclase,32.5,3.6
Anhydrite,29.3,1.3
Bassanite,10,1
Pyroxene,13.4,4.6
Sanidine,2.3,2
Hematite,3.8,1
Siderite,8,1
Quartz,0.8,0.4
