MINERAL,PERCENT,ERROR
PLAGIOCLASE,46.7,2.6
PIGEONITE,19.1,1.8
ORTHOPYROXENE,13.9,2.4
MAGNETITE,13.1,1
QUARTZ,1.5,0.4
TRIDYMITE,1.7,0.5
HEMATITE,2.8,0.5
ANHYDRITE,1.1,0.4
