MINERAL,PERCENT,ERROR
Plagioclase,57,2.6
Sanidine,4.8,1.6
Anhydrite,11.4,1
Bassanite,7.8,0.6
Pyroxene,9.9,3.2
Quartz,1.8,1.2
Fe-carbonate,7.3,2.6
