MINERAL,PERCENT,ERROR
PLAGIOCLASE,38.2,4.1
HEMATITE,5.4,0.4
PYROXENE,17.1,1.9
AKAGANEITE,11.3,0.9
JAROSITE,4.3,0.9
APATITE,2.5,0.8
ANHYDRITE,21.2,2.6
