MINERAL,PERCENT,ERROR
PLAGIOCLASE,38,2.2
K-FELDSPAR,8,1.3
FORSTERITE,3.3,1.2
AUGITE,11.4,1.8
PIGEONITE,9.9,2.4
ENSTATITE,5.4,2.6
MAGNETITE,6.9,0.8
QUARTZ,0.8,0.3
HEMATITE,13.4,0.9
ILMENITE,1.4,0.6
JAROSITE,1.5,0.5
