MINERAL,PERCENT,ERROR
FELDSPAR,46.5,2.4
FORSTERITE,6.9,1.4
PYROXENE,25.3,2.1
MAGNETITE,6.4,1.7
ANHYDRITE,4.6,1.5
BASSANITE,2.3,0.7
QUARTZ,0.8,0.8
HEMATITE,0.9,1
AKAGANEITE,2.2,1.2
HALITE,0.7,0.4
PYRITE,0.7,0.5
PYRRHOTITE,2,0.9
ILMENITE,0.7,0.7
