MINERAL,PERCENT,ERROR
PLAGIOCLASE,43.8,4.5
K-FELDSPAR,8.4,3.6
FORSTERITE,1.8,1.9
PIGEONITE,6.8,1.6
ORTHOPYROXENE,5.5,4.2
MAGNETITE,13.2,1.5
QUARTZ,1.5,0.6
CRISTOBALITE,11.8,2.7
HEMATITE,1.8,0.8
JAROSITE,2.4,2.9
APATITE,3.1,0.8
