MINERAL,PERCENT,ERROR
ANDESINE,45.8,4.5
FORSTERITE,18.2,2.6
AUGITE,18.1,3.8
PIGEONITE,11.4,4.1
MAGNETITE,2.7,1
ANHYDRITE,2.1,0.7
QUARTZ,1.6,0.7
