MINERAL,PERCENT,ERROR
Plagioclase,58.4,4.4
Sanidine,5.7,3
Pyroxene,16.7,1.8
Hematite,9.3,2
Goethite,1.7,1.2
Bassanite,3.1,1.6
Gypsum,2,0.8
Quartz,1.8,1
Halite,1.2,0.6
