MINERAL,PERCENT,ERROR
PLAGIOCLASE,41.9,2.6
K-FELDSPAR,2.9,1
PIGEONITE,20.8,2
ORTHOPYROXENE,11,2.2
MAGNETITE,17.3,1
HEMATITE,1.1,0.6
QUARTZ,1.4,0.4
ANHYDRITE,0.8,0.6
BASSANITE,1.2,0.6
APATITE,1.6,0.6
