MINERAL,PERCENT,ERROR
PLAGIOCLASE,43.2,2.4
PIGEONITE,5.9,1.4
ORTHOPYROXENE,10.4,2.1
MAGNETITE,11.1,0.9
HEMATITE,2.3,0.6
QUARTZ,3.5,0.7
ANHYDRITE,12.3,0.9
BASSANITE,9,1
GYPSUM,2.3,0.7
