MINERAL,PERCENT,ERROR
PLAGIOCLASE,43.7,4.5
K-FELDSPAR,8.4,3.5
FORSTERITE,1.8,1.9
PIGEONITE,6.8,1.6
ORTHOPYROXENE,5.5,4.2
MAGNETITE,13.3,1.4
QUARTZ,1.4,0.6
CRISTOBALITE,11.7,2.7
HEMATITE,1.8,0.8
JAROSITE,2.5,2.7
APATITE,3.1,0.8
