MINERAL,PERCENT,ERROR
Plagioclase,39.6,2.9
Pyroxene,27.6,2.9
Magnetite,14,1.8
Fe-forsterite,11.5,2.5
Sanidine,4.6,2.3
Apatite,2,1.3
Hematite,0.5,0.8
Quartz,0.2,0.4
