MINERAL,PERCENT,ERROR
ANDESINE,40.8,2.4
FORSTERITE,22.4,1.9
AUGITE,14.6,2.8
PIGEONITE,13.8,2.8
MAGNETITE,2.1,0.8
ANHYDRITE,1.5,0.7
QUARTZ,1.4,0.6
SANIDINE,1.3,1.3
HEMATITE,1.1,0.9
ILMENITE,0.9,0.9
