MINERAL,PERCENT,ERROR
PLAGIOCLASE,51.1,2.2
PYROXENE,9.7,2
HEMATITE,26,1.1
QUARTZ,1.9,0.6
ANHYDRITE,5.8,0.4
GYPSUM,5.5,0.6
