MINERAL,PERCENT,ERROR
PLAGIOCLASE,45.8,3.6
HEMATITE,16.4,2.1
ANHYDRITE,10.2,1.1
BASSANITE,1.9,0.8
GYPSUM,6.4,1.1
SANIDINE,7.7,2.5
FORSTERITE,5.3,1.6
PYROXENE,3.6,3.7
JAROSITE,1.5,0.5
QUARTZ,1.2,1
