MINERAL,PERCENT,ERROR
Plagioclase,40,2.8
Anhydrite,34,1.3
Bassanite,3,1.2
Pyroxene,6,1.9
Sanidine,5,2.4
Siderite,3,0.9
Hematite,7,2.5
Quartz,2,0.8
