MINERAL,PERCENT,ERROR
PLAGIOCLASE,38.4,2.4
HEMATITE,20.4,1.7
ANHYDRITE,16.9,1.1
BASSANITE,1.8,0.5
GYPSUM,3.8,1.3
SANIDINE,5.1,2
FORSTERITE,3,1
PYROXENE,6.8,4.2
JAROSITE,2.6,0.6
QUARTZ,1.2,0.6
