MINERAL,PERCENT,ERROR
PLAGIOCLASE,42.4,3.4
PIGEONITE,5,1.8
ORTHOPYROXENE,7.6,2.2
MAGNETITE,17,1.2
QUARTZ,2.4,0.8
HEMATITE,5.5,1
ANHYDRITE,16.1,1.2
BASSANITE,3.9,1
