MINERAL,PERCENT,ERROR
PLAGIOCLASE,44.1,1.7
SANIDINE,4,0.7
PYROXENE,7.3,1.3
HEMATITE,28.3,1
MAGNETITE,0.7,0.2
AKAGANEITE,1.6,0.1
ANHYDRITE,5.3,0.5
BASSANITE,0.8,0.3
GYPSUM,4.2,0.3
JAROSITE,2.2,0.3
QUARTZ,1.5,0.3
