MINERAL,PERCENT,ERROR
PLAGIOCLASE,38.3,4.3
K-FELDSPAR,9.4,1.3
FORSTERITE,2.3,1.3
AUGITE,12,4.1
PIGEONITE,9.9,3.2
ORTHOPYROXENE,3.9,5.8
MAGNETITE,5.6,1.3
QUARTZ,1.3,0.9
HEMATITE,12.8,2.8
APATITE,2.4,2.8
JAROSITE,2.1,1.3
