MINERAL,PERCENT,ERROR
Plagioclase,51.7,3.4
Anhydrite,4.8,1
Bassanite,4.4,1.6
Gypsum,2.1,1
Hematite,16.2,2
Goethite,5.5,3.2
Quartz,1.6,0.8
Alkali Feldspar,6.1,1.6
Pyroxene,7.6,1.8
