MINERAL,PERCENT,ERROR
ANDESINE,43.6,2.7
SANIDINE,3.1,1.7
FORSTERITE,1.8,1.6
AUGITE,8.1,2.5
PIGEONITE,15.6,3.5
ORTHOPYROXENE,8.1,3.1
MAGNETITE,8.7,1.9
ANHYDRITE,1.6,1.2
BASSANITE,1.4,0.7
QUARTZ,0.2,0.3
HEMATITE,1.3,1
ILMENITE,1,0.9
AKAGANEITE,3.4,1.3
HALITE,0.2,0.3
PYRRHOTITE,1.9,1.1
