MINERAL,PERCENT,ERROR
PLAGIOCLASE,44,2
HEMATITE,20,1.5
ANHYDRITE,10.7,0.8
BASSANITE,4.5,0.9
GYPSUM,1.8,1.3
SANIDINE,6.1,1.6
FORSTERITE,5.1,1.8
PYROXENE,5.3,1.6
JAROSITE,1.4,0.6
QUARTZ,1.1,0.6
