MINERAL,PERCENT,ERROR
Plagioclase,49.7,6.4
Sanidine,4.7,1.2
Pyroxene,14.1,2
Hematite,4.8,1.2
Magnetite,12.4,3.4
Apatite,3.8,1.8
Anhydrite,1.2,0.8
Cristobalite,9.3,1.4
