MINERAL,PERCENT,ERROR
Andesine,44.5,3.2
Gypsum,10.5,1.1
Bassanite,1.1,1.6
Anhydrite,1.6,1.6
Starkeyite,6.1,1.6
Hematite,12.4,2.1
Goethite,5.8,3.2
Quartz,1.3,1.1
Sanidine,8.4,2.1
Pyroxene ,8.4,5.8
