2-THETA,INTENSITY
2,6072
2.05,11822
2.1,10602
2.15,8811
2.2,11744
2.25,7388
2.3,10563
2.35,9956
2.4,8611
2.45,9760
2.5,8775
2.55,9760
2.6,7532
2.65,7339
2.7,8413
2.75,7445
2.8,7594
2.85,7523
2.9,6432
2.95,6891
3,6152
3.05,6923
3.1,6466
3.15,5509
3.2,6588
3.25,5128
3.3,5274
3.35,4832
3.4,4980
3.45,4722
3.5,4117
3.55,4527
3.6,4020
3.65,4044
3.7,4036
3.75,3521
3.8,3769
3.85,3480
3.9,3286
3.95,3646
4,3146
4.05,3303
4.1,3082
4.15,2953
4.2,3152
4.25,2661
4.3,2692
4.35,2597
4.4,2572
4.45,2701
4.5,2394
4.55,2393
4.6,2350
4.65,2228
4.7,2395
4.75,2118
4.8,2034
4.85,2030
4.9,1985
4.95,1988
5,2045
5.05,1927
5.1,1895
5.15,1890
5.2,1875
5.25,1729
5.3,1743
5.35,1651
5.4,1616
5.45,1653
5.5,1625
5.55,1620
5.6,1531
5.65,1495
5.7,1480
5.75,1390
5.8,1479
5.85,1372
5.9,1415
5.95,1319
6,1274
6.05,1358
6.1,1301
6.15,1279
6.2,1318
6.25,1247
6.3,1127
6.35,1212
6.4,1120
6.45,1162
6.5,1183
6.55,1138
6.6,1115
6.65,1160
6.7,1058
6.75,1066
6.8,1118
6.85,1092
6.9,1041
6.95,978
7,983
7.05,1024
7.1,1002
7.15,955
7.2,997
7.25,1030
7.3,1011
7.35,933
7.4,948
7.45,961
7.5,968
7.55,948
7.6,980
7.65,996
7.7,949
7.75,936
7.8,916
7.85,908
7.9,944
7.95,929
8,915
8.05,885
8.1,860
8.15,908
8.2,891
8.25,910
8.3,908
8.35,852
8.4,936
8.45,903
8.5,897
8.55,819
8.6,876
8.65,895
8.7,898
8.75,878
8.8,893
8.85,862
8.9,913
8.95,912
9,902
9.05,854
9.1,872
9.15,914
9.2,873
9.25,881
9.3,873
9.35,864
9.4,912
9.45,904
9.5,896
9.55,876
9.6,898
9.65,937
9.7,1032
9.75,999
9.8,994
9.85,1020
9.9,921
9.95,1033
10,1010
10.05,986
