KEV,INTENSITY
0.40179,4.6321
0.40967,4.6086
0.41755,4.5874
0.42543,4.539
0.4333,4.5049
0.44118,4.4591
0.44906,4.4139
0.45694,4.378
0.46482,4.3371
0.4727,4.2946
0.48057,4.2777
0.48845,4.2221
0.49633,4.1999
0.50421,4.1497
0.51209,4.1224
0.51997,4.0817
0.52784,4.0357
0.53572,4.008
0.5436,3.9951
0.55148,3.9498
0.55936,3.917
0.56724,3.8903
0.57511,3.8437
0.58299,3.8179
0.59087,3.7834
0.59875,3.7481
0.60663,3.7415
0.61451,3.701
0.62238,3.6736
0.63026,3.6502
0.63814,3.6289
0.64602,3.5928
0.6539,3.5723
0.66177,3.5534
0.66965,3.5524
0.67753,3.5024
0.68541,3.4827
0.69329,3.4409
0.70117,3.4079
0.70904,3.4079
0.71692,3.3632
0.7248,3.3651
0.73268,3.376
0.74056,3.3508
0.74844,3.3284
0.75631,3.3162
0.76419,3.2898
0.77207,3.2792
0.77995,3.246
0.78783,3.2333
0.79571,3.2375
0.80358,3.2183
0.81146,3.2068
0.81934,3.1471
0.82722,3.0358
0.8351,3.0422
0.84297,3.1443
0.85085,3.1143
0.85873,3.1821
0.86661,3.1418
0.87449,3.1523
0.88237,3.1348
0.89024,3.1212
0.89812,3.0871
0.906,3.0774
0.91388,3.0781
0.92176,3.0715
0.92964,3.0382
0.93751,3.0885
0.94539,3.0318
0.95327,3.012
0.96115,3.0052
0.96903,2.9987
0.97691,2.9854
0.98478,2.9859
0.99266,2.943
1.00054,2.9595
1.00842,2.944
1.0163,2.9294
1.02418,2.9074
1.03205,2.8756
1.03993,2.8645
1.04781,2.8938
1.05569,2.8463
1.06357,2.8363
1.07144,2.8235
1.07932,2.847
1.0872,2.8028
1.09508,2.7853
1.10296,2.7868
1.11084,2.7796
1.11871,2.7226
1.12659,2.7672
1.13447,2.7042
1.14235,2.7388
1.15023,2.7251
1.15811,2.6875
1.16598,2.6355
1.17386,2.6821
1.18174,2.6646
1.18962,2.6618
1.1975,2.6415
1.20538,2.6355
1.21325,2.6513
1.22113,2.6107
1.22901,2.6031
1.23689,2.6355
1.24477,2.6355
1.25265,2.5763
1.26052,2.6513
1.2684,2.6031
1.27628,2.5855
1.28416,2.6085
1.29204,2.5855
1.29991,2.5911
1.30779,2.5977
1.31567,2.5798
1.32355,2.5658
1.33143,2.5877
1.33931,2.5705
1.34718,2.5658
1.35506,2.5911
1.36294,2.5911
1.37082,2.5911
1.3787,2.5539
1.38658,2.5988
1.39445,2.6222
1.40233,2.5933
1.41021,2.567
1.41809,2.5502
1.42597,2.5843
1.43385,2.5798
1.44172,2.5599
1.4496,2.5527
1.45748,2.5694
1.46536,2.5185
1.47324,2.5105
1.48111,2.5527
1.48899,2.5403
1.49687,2.5198
1.50475,2.4843
1.51263,2.5289
1.52051,2.4955
1.52838,2.4728
1.53626,2.4829
1.54414,2.4409
1.55202,2.4654
1.5599,2.415
1.56778,2.4082
1.57565,2.3856
1.58353,2.3997
1.59141,2.4065
1.59929,2.3483
1.60717,2.3655
1.61505,2.4048
1.62292,2.3729
1.6308,2.3032
1.63868,2.3139
1.64656,2.3365
1.65444,2.3222
1.66232,2.2923
1.67019,2.3054
1.67807,2.3747
1.68595,2.3243
1.69383,2.2833
1.70171,2.2878
1.70958,2.2068
1.71746,2.2148
1.72534,2.2405
1.73322,2.1959
1.7411,2.2355
1.74898,2.2742
1.75685,2.2355
1.76473,2.2175
1.77261,2.1847
1.78049,2.2041
1.78837,2.1492
