2-THETA,INTENSITY
2,7391
2.05,10847
2.1,8613
2.15,10027
2.2,8190
2.25,7703
2.3,9745
2.35,6171
2.4,8636
2.45,7711
2.5,6709
2.55,7235
2.6,6353
2.65,6638
2.7,6018
2.75,5765
2.8,5533
2.85,5543
2.9,5335
2.95,4942
3,4627
3.05,4567
3.1,4413
3.15,4284
3.2,4391
3.25,3456
3.3,4030
3.35,3609
3.4,3565
3.45,3762
3.5,3006
3.55,3349
3.6,2973
3.65,3055
3.7,3203
3.75,2628
3.8,2807
3.85,2635
3.9,2692
3.95,2698
4,2414
4.05,2629
4.1,2268
4.15,2564
4.2,2321
4.25,2276
4.3,2299
4.35,2022
4.4,2156
4.45,2099
4.5,2007
4.55,2097
4.6,1879
4.65,1951
4.7,1903
4.75,1738
4.8,1830
4.85,1766
4.9,1745
4.95,1808
5,1742
5.05,1741
5.1,1664
5.15,1724
5.2,1672
5.25,1584
5.3,1660
5.35,1517
5.4,1621
5.45,1593
5.5,1567
5.55,1536
5.6,1503
5.65,1460
5.7,1460
5.75,1417
5.8,1403
5.85,1443
5.9,1338
5.95,1356
6,1327
6.05,1305
6.1,1360
6.15,1303
6.2,1346
6.25,1285
6.3,1295
6.35,1254
6.4,1280
6.45,1247
6.5,1261
6.55,1285
6.6,1183
6.65,1246
6.7,1188
6.75,1239
6.8,1135
6.85,1143
6.9,1137
6.95,1117
7,1162
7.05,1133
7.1,1098
7.15,1151
7.2,1157
7.25,1099
7.3,1151
7.35,1081
7.4,1115
7.45,1093
7.5,1053
7.55,1036
7.6,1067
7.65,1083
7.7,1131
7.75,1038
7.8,1106
7.85,1123
7.9,1024
7.95,1067
8,1026
8.05,1069
8.1,1083
8.15,1078
8.2,1071
8.25,1010
8.3,1075
8.35,1036
8.4,1006
8.45,990
8.5,984
8.55,997
8.6,1034
8.65,1034
8.7,1040
8.75,995
8.8,992
8.85,1033
8.9,1004
8.95,986
9,1030
9.05,1021
9.1,1011
9.15,1021
9.2,1015
9.25,1030
9.3,998
9.35,961
9.4,981
9.45,1006
9.5,997
9.55,997
9.6,986
9.65,1025
9.7,1003
9.75,1039
9.8,1014
9.85,1019
9.9,1044
9.95,966
10,1012
10.05,1042
10.1,1022
10.15,1015
10.2,1067
10.25,1031
10.3,1058
10.35,1023
10.4,1025
10.45,1004
10.5,1010
10.55,1021
10.6,977
10.65,968
10.7,954
10.75,955
10.8,907
10.85,881
10.9,951
10.95,1001
11,987
11.05,889
11.1,884
11.15,891
11.2,880
11.25,883
11.3,882
11.35,850
11.4,892
11.45,890
11.5,859
11.55,852
11.6,858
11.65,880
11.7,835
11.75,867
11.8,813
11.85,820
11.9,807
11.95,834
12,802
12.05,825
12.1,804
12.15,847
12.2,826
12.25,835
12.3,838
12.35,809
12.4,817
12.45,837
12.5,877
12.55,880
12.6,861
12.65,872
12.7,860
12.75,865
12.8,843
12.85,869
12.9,846
12.95,857
13,832
13.05,819
13.1,849
13.15,877
13.2,875
13.25,794
13.3,844
13.35,850
13.4,826
13.45,842
13.5,886
13.55,854
13.6,875
13.65,800
13.7,900
13.75,883
13.8,879
13.85,870
13.9,878
13.95,877
14,862
14.05,835
14.1,844
14.15,788
14.2,863
14.25,857
14.3,862
14.35,845
