KEV,INTENSITY
0.40179,4.729
0.40967,4.6874
0.41755,4.6504
0.42543,4.6102
0.4333,4.5709
0.44118,4.5326
0.44906,4.4794
0.45694,4.4583
0.46482,4.4273
0.4727,4.3869
0.48057,4.3503
0.48845,4.3074
0.49633,4.2681
0.50421,4.2388
0.51209,4.1948
0.51997,4.1716
0.52784,4.1382
0.53572,4.099
0.5436,4.0747
0.55148,4.0345
0.55936,4.0004
0.56724,3.9729
0.57511,3.9321
0.58299,3.9268
0.59087,3.8965
0.59875,3.8517
0.60663,3.8231
0.61451,3.7839
0.62238,3.7625
0.63026,3.7272
0.63814,3.7043
0.64602,3.6989
0.6539,3.6622
0.66177,3.6467
0.66965,3.6078
0.67753,3.5826
0.68541,3.5813
0.69329,3.5528
0.70117,3.5266
0.70904,3.514
0.71692,3.4886
0.7248,3.4564
0.73268,3.4448
0.74056,3.3518
0.74844,3.2693
0.75631,3.3304
0.76419,3.357
0.77207,3.3675
0.77995,3.3621
0.78783,3.3336
0.79571,3.3349
0.80358,3.3191
0.81146,3.301
0.81934,3.2728
0.82722,3.27
0.8351,3.2608
0.84297,3.1989
0.85085,3.2
0.85873,3.2156
0.86661,3.1901
0.87449,3.1844
0.88237,3.1694
0.89024,3.1361
0.89812,3.131
0.906,3.1377
0.91388,3.1072
0.92176,3.1136
0.92964,3.0927
0.93751,3.1096
0.94539,3.081
0.95327,3.0535
0.96115,3.0386
0.96903,3.033
0.97691,2.9827
0.98478,2.989
0.99266,3.0043
1.00054,2.9877
1.00842,2.96
1.0163,2.9538
1.02418,2.9375
1.03205,2.9217
1.03993,2.9258
1.04781,2.8681
1.05569,2.9154
1.06357,2.8627
1.07144,2.8627
1.07932,2.8675
1.0872,2.8351
1.09508,2.8357
1.10296,2.8222
1.11084,2.7938
1.11871,2.837
1.12659,2.7825
1.13447,2.7973
1.14235,2.8035
1.15023,2.7536
1.15811,2.7604
1.16598,2.7701
1.17386,2.7202
1.18174,2.7694
1.18962,2.7427
1.1975,2.7292
1.20538,2.734
1.21325,2.683
1.22113,2.6964
1.22901,2.7143
1.23689,2.6946
1.24477,2.6503
1.25265,2.7202
1.26052,2.6767
1.2684,2.6561
1.27628,2.6848
1.28416,2.6946
1.29204,2.6375
1.29991,2.6609
1.30779,2.683
1.31567,2.6609
1.32355,2.6599
1.33143,2.6149
1.33931,2.6561
1.34718,2.6395
1.35506,2.6294
1.36294,2.6464
1.37082,2.6637
1.3787,2.6191
1.38658,2.6365
1.39445,2.6085
1.40233,2.616
1.41021,2.6253
1.41809,2.5682
1.42597,2.6435
1.43385,2.6425
1.44172,2.6335
1.4496,2.5977
1.45748,2.6325
1.46536,2.5899
1.47324,2.6375
1.48111,2.618
1.48899,2.5955
1.49687,2.5717
1.50475,2.5855
1.51263,2.6117
1.52051,2.5551
1.52838,2.5224
1.53626,2.5391
1.54414,2.5453
1.55202,2.5647
1.5599,2.5224
1.56778,2.5237
1.57565,2.4914
1.58353,2.5119
1.59141,2.5011
1.59929,2.525
1.60717,2.4928
1.61505,2.5237
1.62292,2.415
1.6308,2.4669
1.63868,2.4409
1.64656,2.3979
1.65444,2.4281
1.66232,2.4669
1.67019,2.4314
1.67807,2.3838
1.68595,2.3711
1.69383,2.4133
1.70171,2.3802
1.70958,2.3075
1.71746,2.1761
1.72534,2.2279
1.73322,2.2765
1.7411,2.29
1.74898,2.3054
1.75685,2.3118
1.76473,2.3541
1.77261,2.3118
1.78049,2.3075
1.78837,2.3181
1.79625,2.2504
1.80412,2.2672
1.812,2.29
1.81988,2.2989
1.82776,2.2455
1.83564,2.2175
1.84352,2.2788
1.85139,2.2068
1.85927,2.2695
1.86715,2.1818
1.87503,2.2405
1.88291,2.1959
1.89078,2.2577
1.89866,2.1523
1.90654,2.2095
1.91442,2.2253
1.9223,2.1959
1.93018,2.1761
1.93805,2.2041
1.94593,2.1959
1.95381,2.1818
1.96169,2.1239
1.96957,2.1553
1.97745,2.1004
1.98532,2.0755
1.9932,2.0374
2.00108,2.1271
2.00896,2.1173
2.01684,2.1875
2.02472,2.0899
2.03259,2.0969
2.04047,2.1931
2.04835,2.1367
2.05623,2.0531
2.06411,2.0682
2.07199,2.0934
2.07986,2.0645
2.08774,2.0792
2.09562,2.0828
2.1035,2.1239
2.11138,2.0607
2.11925,2.1106
2.12713,2.0607
2.13501,2.0043
2.14289,2.1004
2.15077,2.0043
2.15865,2.0086
2.16652,1.9731
2.1744,1.9494
2.18228,2.0828
2.19016,2.0253
2.19804,2.0128
2.20592,1.9395
2.21379,1.9956
2.22167,2.0212
2.22955,2.0043
2.23743,1.9868
2.24531,2.017
2.25319,2.0374
2.26106,1.8921
2.26894,1.9294
2.27682,1.9494
2.2847,1.9395
2.29258,1.9395
2.30046,1.9294
2.30833,1.8808
2.31621,1.8513
2.32409,1.9395
2.33197,1.9638
2.33985,1.8976
2.34772,1.9395
2.3556,1.9395
2.36348,1.959
2.37136,1.8692
2.37924,2.0043
2.38712,1.9345
2.39499,1.9638
2.40287,1.8388
2.41075,1.8976
2.41863,1.9445
2.42651,1.8921
2.43439,1.9395
2.44226,1.8451
2.45014,1.8808
2.45802,1.9345
2.4659,1.8692
2.47378,1.7634
2.48166,1.8865
2.48953,1.8388
2.49741,1.8751
2.50529,1.8692
2.51317,1.8451
2.52105,1.7709
2.52892,1.7924
2.5368,1.7853
2.54468,1.8808
2.55256,1.9085
2.56044,1.8195
2.56832,1.7782
2.57619,1.8388
2.58407,1.7853
2.59195,1.7404
2.59983,1.7482
2.60771,1.8513
2.61559,1.8388
2.62346,1.7243
2.63134,1.8062
2.63922,1.7482
2.6471,1.7993
2.65498,1.7076
2.66286,1.7404
2.67073,1.8573
2.67861,1.8633
2.68649,1.7482
2.69437,1.7404
2.70225,1.7853
2.71013,1.7924
2.718,1.6628
2.72588,1.6902
