2-THETA,INTENSITY
3,3949
3.05,3899
3.1,3494
3.15,3141
3.2,3165
3.25,3124
3.3,3228
3.35,2838
3.4,2515
3.45,2890
3.5,2170
3.55,2888
3.6,2038
3.65,2342
3.7,2649
3.75,1757
3.8,1867
3.85,1654
3.9,1903
3.95,2040
4,1642
4.05,1897
4.1,1567
4.15,1550
4.2,1589
4.25,1365
4.3,1343
4.35,1324
4.4,1353
4.45,1491
4.5,1276
4.55,1268
4.6,1122
4.65,1182
4.7,1150
4.75,964
4.8,980
4.85,1014
4.9,1011
4.95,1048
5,1047
5.05,1065
5.1,963
5.15,892
5.2,1030
5.25,849
5.3,897
5.35,920
5.4,929
5.45,913
5.5,765
5.55,930
5.6,873
5.65,869
5.7,765
5.75,822
5.8,786
5.85,818
5.9,810
5.95,661
6,723
6.05,740
6.1,712
6.15,720
6.2,731
6.25,737
6.3,646
6.35,646
6.4,669
6.45,592
6.5,640
6.55,699
6.6,706
6.65,671
6.7,613
6.75,680
6.8,629
6.85,660
6.9,685
6.95,579
7,607
7.05,604
7.1,629
7.15,571
7.2,589
7.25,605
7.3,597
7.35,604
7.4,603
7.45,595
7.5,594
7.55,560
7.6,643
7.65,620
7.7,583
7.75,582
7.8,543
7.85,664
7.9,572
7.95,571
8,537
8.05,557
8.1,546
8.15,560
8.2,577
8.25,538
8.3,549
8.35,561
8.4,572
8.45,493
8.5,531
8.55,491
8.6,532
8.65,557
8.7,552
8.75,516
8.8,547
8.85,518
8.9,537
8.95,553
9,578
9.05,504
9.1,573
9.15,588
9.2,557
9.25,559
9.3,555
9.35,505
9.4,506
9.45,513
9.5,505
9.55,548
9.6,521
9.65,532
9.7,573
9.75,580
9.8,585
9.85,531
9.9,549
9.95,558
10,564
10.05,537
10.1,557
10.15,565
10.2,520
10.25,542
10.3,555
10.35,512
10.4,552
10.45,554
10.5,597
10.55,527
10.6,530
10.65,518
10.7,545
10.75,528
10.8,542
10.85,507
10.9,503
10.95,552
11,541
11.05,548
11.1,487
11.15,498
11.2,463
11.25,472
11.3,515
11.35,432
11.4,464
11.45,428
11.5,461
11.55,456
11.6,477
11.65,439
11.7,443
11.75,446
11.8,427
11.85,420
11.9,405
11.95,419
12,433
12.05,420
12.1,424
12.15,439
12.2,424
12.25,423
12.3,442
12.35,411
12.4,440
12.45,466
12.5,400
12.55,404
12.6,406
12.65,422
12.7,384
12.75,450
12.8,406
12.85,417
12.9,428
12.95,439
13,446
13.05,464
13.1,406
13.15,429
13.2,435
13.25,477
13.3,410
13.35,451
13.4,465
13.45,467
13.5,505
13.55,533
13.6,485
13.65,532
13.7,503
13.75,503
13.8,540
13.85,488
13.9,499
13.95,468
14,510
14.05,469
14.1,455
14.15,450
14.2,419
14.25,410
14.3,447
14.35,422
14.4,447
14.45,444
14.5,435
14.55,457
14.6,445
14.65,462
14.7,440
14.75,387
14.8,439
14.85,463
14.9,444
14.95,460
15,410
15.05,461
15.1,413
15.15,445
15.2,412
15.25,416
15.3,411
15.35,430
15.4,463
15.45,406
15.5,432
15.55,427
15.6,438
15.65,444
15.7,417
15.75,451
15.8,469
15.85,481
15.9,500
15.95,530
16,576
16.05,495
16.1,500
16.15,494
16.2,491
16.25,495
16.3,465
16.35,449
16.4,465
16.45,456
16.5,443
16.55,442
16.6,430
16.65,424
16.7,465
16.75,489
16.8,451
16.85,453
16.9,475
16.95,507
17,545
17.05,529
17.1,547
17.15,552
17.2,563
17.25,512
17.3,560
17.35,516
17.4,546
17.45,549
17.5,537
17.55,515
17.6,510
17.65,533
17.7,497
17.75,525
17.8,547
17.85,493
17.9,495
17.95,486
18,483
18.05,517
18.1,533
18.15,539
18.2,564
18.25,540
18.3,564
18.35,571
18.4,524
18.45,523
18.5,576
18.55,545
18.6,536
18.65,533
18.7,561
18.75,540
18.8,556
18.85,571
18.9,568
18.95,552
19,528
19.05,541
19.1,535
19.15,575
19.2,583
19.25,544
19.3,542
19.35,537
19.4,561
19.45,555
19.5,583
19.55,563
19.6,520
19.65,521
19.7,567
19.75,566
19.8,552
19.85,550
19.9,549
19.95,564
20,547
20.05,570
20.1,549
20.15,581
20.2,606
20.25,613
20.3,597
20.35,595
20.4,570
20.45,624
20.5,550
20.55,558
20.6,572
20.65,554
20.7,555
20.75,536
20.8,557
20.85,550
20.9,523
20.95,525
21,542
21.05,536
21.1,530
21.15,569
21.2,555
21.25,554
21.3,557
21.35,533
21.4,561
21.45,580
21.5,562
21.55,545
21.6,530
21.65,569
21.7,521
21.75,546
21.8,578
21.85,620
21.9,582
21.95,593
22,640
22.05,596
22.1,621
22.15,600
22.2,562
22.25,623
22.3,632
22.35,598
22.4,604
22.45,635
22.5,636
22.55,644
22.6,647
22.65,647
22.7,629
22.75,635
22.8,656
22.85,640
22.9,655
22.95,686
23,663
23.05,689
23.1,712
23.15,735
23.2,714
23.25,714
23.3,669
23.35,675
23.4,700
23.45,704
23.5,699
23.55,686
23.6,626
23.65,665
23.7,654
23.75,651
23.8,676
23.85,673
23.9,674
23.95,685
24,670
24.05,731
24.1,727
24.15,772
24.2,722
24.25,779
24.3,727
24.35,709
24.4,718
24.45,709
24.5,701
24.55,705
