2-THETA,INTENSITY
24.6,671
24.65,680
24.7,626
24.75,678
24.8,657
24.85,686
24.9,683
24.95,737
25,698
25.05,702
25.1,725
25.15,667
25.2,696
25.25,725
25.3,719
25.35,765
25.4,832
25.45,973
25.5,1114
25.55,1306
25.6,1367
25.65,1386
25.7,1349
25.75,1263
25.8,1103
25.85,953
25.9,765
25.95,722
26,667
26.05,648
26.1,661
26.15,651
26.2,683
26.25,685
26.3,664
26.35,667
26.4,691
26.45,692
26.5,743
26.55,719
26.6,766
26.65,777
26.7,793
26.75,796
26.8,769
26.85,707
26.9,723
26.95,712
27,718
27.05,701
27.1,687
27.15,679
27.2,673
27.25,700
27.3,714
27.35,742
27.4,760
27.45,847
27.5,920
27.55,1050
27.6,1128
27.65,1196
27.7,1159
27.75,1064
27.8,944
27.85,901
27.9,893
27.95,869
28,959
28.05,997
28.1,1106
28.15,1180
28.2,1262
28.25,1310
28.3,1234
28.35,1172
28.4,1057
28.45,1046
28.5,965
28.55,992
28.6,865
28.65,881
28.7,797
28.75,758
28.8,700
28.85,686
28.9,702
28.95,685
29,716
29.05,685
29.1,722
29.15,759
29.2,773
29.25,799
29.3,822
29.35,884
29.4,874
29.45,915
29.5,989
29.55,1066
29.6,1136
29.65,1162
29.7,1157
29.75,1190
29.8,1161
29.85,1144
29.9,1024
29.95,940
30,865
30.05,807
30.1,803
30.15,765
30.2,760
30.25,748
30.3,728
30.35,705
30.4,700
30.45,671
30.5,695
30.55,705
30.6,727
30.65,692
30.7,715
30.75,744
30.8,794
30.85,808
30.9,845
30.95,903
31,887
31.05,907
31.1,895
31.15,869
31.2,871
31.25,829
31.3,806
31.35,765
31.4,760
31.45,737
31.5,776
31.55,706
31.6,720
31.65,678
31.7,698
31.75,701
31.8,711
31.85,706
31.9,765
31.95,762
32,818
32.05,811
32.1,954
32.15,1076
32.2,1179
32.25,1459
32.3,1556
32.35,1860
32.4,2000
32.45,2064
32.5,1972
32.55,1894
32.6,1794
32.65,1743
32.7,1675
32.75,1556
32.8,1317
32.85,1161
32.9,1069
32.95,941
33,894
33.05,857
33.1,889
33.15,937
33.2,907
33.25,902
33.3,887
33.35,802
33.4,730
33.45,704
33.5,687
33.55,686
33.6,690
33.65,671
33.7,667
33.75,743
33.8,715
33.85,700
33.9,717
33.95,749
34,709
34.05,694
34.1,639
34.15,601
34.2,589
34.25,608
34.3,610
34.35,611
34.4,655
34.45,636
34.5,741
34.55,791
34.6,809
34.65,840
34.7,861
34.75,888
34.8,824
34.85,769
34.9,785
34.95,780
35,733
35.05,756
35.1,728
35.15,703
35.2,668
35.25,726
35.3,760
35.35,768
35.4,817
35.45,807
35.5,819
35.55,834
35.6,770
35.65,777
35.7,740
35.75,755
35.8,716
35.85,714
35.9,707
35.95,652
36,657
36.05,718
36.1,716
36.15,688
36.2,681
36.25,673
36.3,670
36.35,696
36.4,677
36.45,711
36.5,674
36.55,700
36.6,763
36.65,811
36.7,807
36.75,839
36.8,793
36.85,781
36.9,742
36.95,779
37,752
37.05,720
37.1,764
37.15,733
37.2,677
37.25,712
37.3,664
37.35,658
37.4,667
37.45,615
37.5,639
37.55,696
37.6,731
37.65,676
37.7,648
37.75,632
37.8,619
37.85,623
37.9,607
37.95,575
38,569
38.05,584
38.1,575
38.15,602
38.2,601
38.25,628
38.3,666
38.35,699
38.4,710
38.45,764
38.5,823
38.55,993
38.6,1182
38.65,1444
38.7,1727
38.75,2003
38.8,2136
38.85,2004
38.9,1907
38.95,1693
39,1288
39.05,993
39.1,791
39.15,737
39.2,652
39.25,660
39.3,650
39.35,631
39.4,700
39.45,664
39.5,653
39.55,644
39.6,635
39.65,569
39.7,603
39.75,577
39.8,563
39.85,587
39.9,556
39.95,576
40,549
40.05,540
40.1,544
40.15,549
40.2,535
40.25,543
40.3,588
40.35,557
40.4,577
40.45,605
40.5,574
40.55,607
40.6,626
40.65,642
40.7,651
40.75,645
40.8,633
40.85,665
40.9,672
40.95,659
41,634
41.05,672
41.1,672
41.15,686
41.2,735
41.25,776
41.3,807
41.35,795
41.4,913
41.45,978
41.5,1204
41.55,1442
41.6,1586
41.65,1831
41.7,1973
41.75,1960
41.8,1906
41.85,1678
41.9,1444
41.95,1263
42,1046
42.05,807
42.1,772
42.15,719
42.2,707
42.25,701
42.3,652
42.35,649
42.4,648
42.45,644
42.5,632
42.55,589
42.6,576
42.65,591
42.7,589
42.75,603
42.8,601
42.85,624
42.9,569
42.95,608
43,571
43.05,584
43.1,596
43.15,588
43.2,539
43.25,567
43.3,573
43.35,568
43.4,537
43.45,585
43.5,554
43.55,567
43.6,573
43.65,550
43.7,571
43.75,555
43.8,561
43.85,529
43.9,530
43.95,522
44,500
44.05,535
44.1,534
44.15,562
44.2,578
44.25,582
44.3,560
44.35,552
44.4,564
44.45,571
44.5,555
44.55,531
44.6,544
44.65,542
44.7,557
44.75,578
44.8,535
44.85,533
44.9,525
44.95,518
45,543
45.05,563
45.1,562
45.15,559
45.2,585
45.25,577
45.3,592
45.35,614
45.4,615
45.45,615
45.5,596
45.55,595
45.6,624
45.65,590
45.7,579
45.75,618
45.8,614
45.85,656
45.9,636
45.95,660
46,653
46.05,657
46.1,631
46.15,652
46.2,635
46.25,602
46.3,625
46.35,586
46.4,572
46.45,594
46.5,548
46.55,545
46.6,526
46.65,534
46.7,516
46.75,503
46.8,537
46.85,566
46.9,535
46.95,513
47,546
47.05,504
47.1,520
47.15,532
47.2,544
47.25,569
47.3,559
47.35,568
47.4,555
47.45,570
47.5,607
47.55,631
47.6,627
47.65,660
47.7,728
47.75,797
47.8,859
47.85,895
47.9,1058
47.95,1071
48,1020
48.05,1052
48.1,926
48.15,807
48.2,762
48.25,714
48.3,646
48.35,593
48.4,613
48.45,598
48.5,573
48.55,589
48.6,589
48.65,555
48.7,536
48.75,549
48.8,540
48.85,536
48.9,544
48.95,535
49,593
49.05,547
49.1,527
49.15,536
49.2,553
49.25,537
49.3,559
49.35,571
49.4,608
49.45,623
49.5,660
49.55,653
49.6,650
49.65,641
49.7,624
49.75,601
49.8,589
49.85,601
49.9,603
49.95,607
50,632
50.05,567
50.1,602
50.15,594
50.2,586
50.25,584
50.3,548
50.35,582
50.4,583
50.45,581
50.5,600
50.55,589
50.6,594
50.65,593
50.7,610
50.75,565
50.8,584
50.85,600
50.9,598
50.95,583
51,586
51.05,601
51.1,591
51.15,589
51.2,563
51.25,574
51.3,590
51.35,573
51.4,556
51.45,556
51.5,591
51.55,553
51.6,542
51.65,561
51.7,558
51.75,557
51.8,573
51.85,545
51.9,590
51.95,573
52,560
